ASV_ID	BS	RS	BL1	BL2	BL3	BL4	BL5	BL6	BL7	BL8	BL9	BL10	BL11	BL12	BL13	BL14	BL15	BL16	BL17	BL18	BL19	BL20	BL21	BL22	BL23	BL24	BL25	BL26	BL27	BL28	BL29	BL30	BL31	BL32	BL33	BL34	BL35	BL36	BL37	BL38	BL39	BL40	BL41	BL42	BL43	BL44	BL45	BL46	BL47	BL48	BL49	BL50	BL51	BL52	BL53	BL54	BL55	BL56	BL57	BL58	BL59	BL60	BM1	BM2	BM3	BM4	BM5	BM6	BM7	BM8	BM9	BM10	BM11	BM12	BM13	BM14	BM15	BM16	BM17	BM18	BM19	BM20	BM21	BM22	BM23	BM24	BM25	BM26	BM27	BM28	BM29	BM30	BM31	BM32	BM33	BM34	BM35	BM36	BM37	BM38	BM39	BM40	BM41	BM42	BM43	BM44	BM45	BM46	BM47	BM48	BM49	BM50	BM51	BM52	BM53	BM54	BM55	BM56	BM57	BM58	BM59	BM60	BH1	BH2	BH3	BH4	BH5	BH6	BH7	BH8	BH9	BH10	BH11	BH12	BH13	BH14	BH15	BH16	BH17	BH18	BH19	BH20	BH21	BH22	BH23	BH24	BH25	BH26	BH27	BH28	BH29	BH30	BH31	BH32	BH33	BH34	BH35	BH36	BH37	BH38	BH39	BH40	BH41	BH42	BH43	BH44	BH45	BH46	BH47	BH48	BH49	BH50	BH51	BH52	BH53	BH54	BH55	BH56	BH57	BH58	BH59	BH60	RL1	RL2	RL3	RL4	RL5	RL6	RL7	RL8	RL9	RL10	RL11	RL12	RL13	RL14	RL15	RL16	RL17	RL18	RL19	RL20	RL21	RL22	RL23	RL24	RL25	RL26	RL27	RL28	RL29	RL30	RL31	RL32	RL33	RL34	RL35	RL36	RL37	RL38	RL39	RL40	RL41	RL42	RL43	RL44	RL45	RL46	RL47	RL48	RL49	RL50	RL51	RL52	RL53	RL54	RL55	RL56	RL57	RL58	RL59	RL60	RM1	RM2	RM3	RM4	RM5	RM6	RM7	RM8	RM9	RM10	RM11	RM12	RM13	RM14	RM15	RM16	RM17	RM18	RM19	RM20	RM21	RM22	RM23	RM24	RM25	RM26	RM27	RM28	RM29	RM30	RM31	RM32	RM33	RM34	RM35	RM36	RM37	RM38	RM39	RM40	RM41	RM42	RM43	RM44	RM45	RM46	RM47	RM48	RM49	RM50	RM51	RM52	RM53	RM54	RM55	RM56	RM57	RM58	RM59	RM60	RH1	RH2	RH3	RH4	RH5	RH6	RH7	RH8	RH9	RH10	RH11	RH12	RH13	RH14	RH15	RH16	RH17	RH18	RH19	RH20	RH21	RH22	RH23	RH24	RH25	RH26	RH27	RH28	RH29	RH30	RH31	RH32	RH33	RH34	RH35	RH36	RH37	RH38	RH39	RH40	RH41	RH42	RH43	RH44	RH45	RH46	RH47	RH48	RH49	RH50	RH51	RH52	RH53	RH54	RH55	RH56	RH57	RH58	RH59	RH60
ASV1	0	18	5471	4	1604	0	3048	1683	762	4304	292	21	3	731	401	2544	423	6950	3871	4598	2469	3356	1678	1087	3836	192	2873	5469	4969	0	55	5	5104	4801	3099	2021	529	5455	1685	1651	2534	2316	9135	3894	3761	875	2136	144	4158	3324	215	1899	1856	520	1376	2092	2855	3395	7276	78	2894	3219	4879	11	2127	0	2848	5936	2774	6368	1056	14	0	874	4036	4517	1250	9006	7549	6260	3062	3760	4280	2988	7484	1021	7489	8726	5898	0	0	0	5610	8574	6528	6404	7296	6108	0	3158	4141	7040	10148	4828	3662	2813	5295	849	7820	5384	1404	2684	3262	3512	1028	4652	6018	6169	4502	2501	3037	5545	0	0	0	0	0	0	30	6	0	11	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	20	22	0	2	0	0	0	21	0	0	0	401	16	13	10	0	0	9	204	0	103	0	931	0	77	61	0	7	0	50	0	137	586	841	0	0	0	50	12	0	6	0	10	0	0	3	0	1813	0	0	3	5	0	7	218	0	39	2384	20	194	1068	4	78	1119	0	447	2179	4963	0	6347	0	8158	5031	3432	5737	2251	3	0	4543	1897	5374	3047	5881	4794	5546	5643	4396	6354	6019	6301	329	7229	6687	4242	8	0	49	2424	6020	4291	4808	7103	3691	0	4143	4862	5760	11125	4019	4333	4070	5593	175	4795	7934	1050	7791	8942	6947	1150	8711	5565	5472	9658	6292	4660	9436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4
ASV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	0	166	112	0	0	0	0	0	0	15	114	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	1154	67	7	0	20	6	3624	0	23	3	0	0	3	1499	0	13	0	0	0	0	0	11	0	0	0	0	4067	265	0	0	861	2035	0	0	0	0	0	0	0	5297	115	0	0	0	0	62	36	10	4	0	0	0	290	33	201	0	4	0	0	12	909	428	240	0	3105	1102	5810	1267	5199	2489	0	4986	149	5204	76	571	2838	3075	0	6717	590	2071	0	590	1287	0	4538	4328	6929	8233	1375	2906	360	168	3627	151	167	3513	2878	7126	5428	5184	2861	4335	4610	1860	1030	1830	317	4584	4495	1602	2860	307	2895	298	48	2162	2173	570	798	928	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	88	1374	0	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	92	5	0	0	0	24	33	880	78	235	874	15	1456	0	3447	0	0	701	126	0	86	54	298	0	13	749	2	997	238	1541	449	448	965	0	0	119	587	0	752	0	0	328	0	912	0	0	282	37	0	0	369	108	425	311	262	116	0	0	451	802	0	27	56	75
ASV3	0	11	0	3245	1597	0	21	6	196	0	1645	22	0	0	4022	195	3779	0	823	0	2620	0	2758	3939	118	2195	561	0	835	25	21	109	0	0	320	0	0	0	146	4307	94	332	41	424	2110	608	49	103	1957	265	4834	1212	0	2751	163	17	1104	660	97	354	567	35	0	161	3632	0	0	0	0	0	408	0	0	0	419	1227	3689	0	7	0	508	0	762	0	0	42	3	0	0	0	0	0	94	149	58	0	0	0	0	1188	67	0	0	0	2009	1241	15	0	149	0	1361	15	0	334	0	0	0	53	0	119	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	385	6869	3169	4	0	88	306	466	1580	346	0	0	1345	1718	3429	465	2622	1613	2982	2311	2132	6350	489	1766	22	1028	249	2499	34	1244	1613	898	398	1322	0	1300	0	675	56	4149	612	3745	3347	2343	1016	4859	2951	1298	3666	3641	69	1560	76	0	1644	1601	1831	4342	2823	1543	0	33	330	0	0	0	0	0	301	3	0	0	355	190	1276	0	0	0	34	0	46	0	0	305	0	0	0	152	0	190	336	13	0	0	0	0	0	148	0	0	0	0	1798	773	3	0	20	10	187	307	0	193	0	0	4	32	20	184	382	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4	0	0	0	0	679	0	2048	2600	5276	0	1707	0	0	2998	391	1407	1158	0	453	0	867	60	450	255	0	699	878	0	379	1253	36	0	0	354	13	46	0	108	195	622	117	276	39	35	344	1656	179	0	0	1328	355	422	2835	2827	1391	1179	0	1418	943	243	2431	2218	0	0	548	0	210	1137	3514	0	124	0	0	707	330	0	245	0	0	0	825	0	43	0	0	409	21	0	0	115	0	0	0	0	37	0	0	0	0	837	0	0	0	0	195	568	35	0	0	0	9	221	170	1315	35	575	0	0	589	264	1094	562	0	0	2518	0	3816	1086	1828	0	489	0	0	5160	2747	241	402	0	0	0	2604	0	0	61	0	327	526	0	0	109	0	10	0	25	0	0	0	0	0	660	316	368	0	0	246	245	545	0	399	911	9	2124	4902	1101	4363	4881	165	2720	4639	197	1833	4963	0	0	0	0	17	184	19	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	45	0	0	0	0	0	27	0	0	86	743	0	0	0	0	131	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	29	0	0	0	0	0	0	22	22	0	0	0	0	38	56	44	47	0	32	1316	0	3247	110	2695	0	130	0	0	2007	3511	965	191	22	0	0	1051	14	0	178	0	0	72	0	0	22	0	60	0	346	0	46	3591	0	0	1482	180	0	0	0	87	960	488	0	207	751	0	1896	2914	709	1299	5298	116	1434	2406	86	1193	3366
ASV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	269	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	64	0	0	0	0	0	0	0	0	155	2	0	0	0	0	0	0	0	0	0	101	0	0	0	3079	161	0	0	0	0	0	0	0	0	0	0	0	0	0	296	474	0	0	3	0	0	0	0	0	0	0	0	0	0	735	0	0	0	1384	392	335	0	0	0	0	0	67	884	0	246	1197	752	0	77	3349	177	1340	2211	2816	0	497	0	0	0	2395	2231	5137	4946	1761	3621	2061	1130	203	0	0	0	0	0	1140	318	988	0	2226	112	0	2237	0	0	9	0	0	0	0	0	2461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	732	0	5746	6	0	0	71	103	0	1250	0	0	0	0	15	209	4415	20	0	323	0	0	0	0	0	0	5242	4626	0	5397	778	956	0	0	0	0	0	0	0	0	138	506	114	0	104	0	0	507	0	0	0	0	0	0	0	0	75	0	0
ASV6	0	0	1484	1087	0	0	295	433	847	2301	349	197	0	481	1491	1374	213	1640	698	4868	566	1552	956	0	1629	0	882	0	627	0	0	3	2620	1249	1844	1632	105	707	312	524	1629	1637	359	1259	378	884	2943	426	728	198	235	257	54	281	800	463	1857	544	551	92	286	171	427	241	0	0	0	56	0	431	152	0	0	345	231	0	183	431	332	269	752	548	207	0	1016	0	293	0	0	0	0	0	519	163	729	731	0	360	0	590	368	270	0	381	247	129	881	120	86	133	82	0	107	166	0	211	582	138	112	0	415	19	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	91	132	70	0	0	0	0	0	0	44	0	16	66	85	64	0	0	0	33	0	0	0	0	0	0	0	0	0	77	95	0	41	33	0	0	47	48	137	27	0	82	0	95	74	0	13	29	0	107	136	166	80	0	0	84	20	0	0	0	0	0	25	0	97	0	0	0	47	0	0	0	0	0	22	0	0	0	0	10	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	42	12	26	10	32	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	37	8034	81	134	0	67	154	0	8346	0	50	129	99	114	91	135	65	0	0	118	106	56	359	40	0	4866	7027	675	477	1106	97	87	518	137	0	24	0	0	135	86	0	0	122	883	0	22	22	15	13	18	0	33	20	0	19	129	17	0	86	0	229	1368	64	61	24	105	407	0	269	651	501	335	392	153	139	258	155	84	159	574	309	0	690	276	0	2974	1463	553	481	177	435	374	933	117	10989	352	72	0	0	250	378	96	128	1223	192	37	449	23	0	102	81	19	115	66	9	0	51	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	0	57	0	0	0	0	0	0	32	0	75	0	0	0	8	36	0	0	0	0	0	15	0	0	0	0	0	0	0	0	32	0	0	0	15	0	0	0	0	0	0	0	0	31	20	0	26	6	0	24	23	36	42	32	0	28	18	39	0	84	0	108	0	27	99	0	0	0	64	0	41	23	26	113	126	0	0	29	76	59	0	195	50	0	0	0	11	187	0	139	286	350	0	0	44	29	68	0	80	0	0	74	0	0	89	0	26	23	28	0	164	179	77	52	27	144	99	6576	0	49	0	207	15	29	6514	85	0	0	103	39	0	0	0	82	55	0	3613	100	0	4480	0	930	0	0	0	0	0	0	0	812	1171	0	0	0	134	47	1227	0	0	0	0	2420	0	487	261	0	94	0	69	0	0	678	130	0	0	0	30	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	11	0	0	0	0	15	0	0	12	0	16	8	0	0	23	12	0	0	0	0	0	0	0	0	0	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	49	35	0	12	7	15	25	0	0	0	428	0	123	0	541	47	53	2754	615	3	0	273	416	1207	0	20	1941	205	733	1142	942	104	197	0	45	665	0	0	0	256	169	53	679	1001	502	1651	149	2487	1632	333	0	132	139	614	1413	221	388	896	41	513	280	316	255	359	498	392	119	50	76	380
ASV9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	315	683	0	1119	1857	1727	279	569	4367	0	563	267	552	582	546	220	1241	173	342	1021	473	415	72	763	616	0	0	3	108	1095	833	1032	951	1980	196	133	1220	1363	231	283	605	618	196	1759	386	490	672	661	639	1856	1643	350	1678	454	487	1466	273	646	1017	107	232	43	0	86	33	37	44	17	2680	0	241	42	418	83	151	186	167	105	98	188	115	178	0	204	67	0	0	0	116	481	0	228	197	586	24	0	62	229	150	0	60	145	224	252	0	196	149	0	109	315	259	183	249	55	105	52	18	60	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10	13	0	862	102	295	0	376	213	361	450	168	8497	0	448	296	1019	31	966	384	439	462	564	179	370	1058	220	379	5143	801	0	0	0	1710	1105	805	1058	7787	395	337	166	929	806	222	664	271	313	1586	692	520	135	24	26	70	50	856	471	866	525	12	0	303	342	258	126	0	0	0	13	0	0	0	0	0	0	43	0	55	0	0	0	240	0	25	0	0	0	14	0	0	0	0	0	84	61	24	0	0	0	0	13	24	15	0	0	104	25	49	0	24	0	0	20	0	21	18	14	68	31	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	69	104	203	0	102	269	0	0	0	142	0	92	113	163	113	103	43	0	87	0	218	120	0	0	0	0	211	0	115	79	0	125	0	100	167	0	39	0	0	0	194	0	135	132	0	21	53	108	42	192	108	150	35	0	87	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
