ASV_ID	BL1	BL2	BL3	BL4	BL5	BL6	BL7	BL8	BL9	BL10	BL11	BL12	BL13	BL14	BL15	BL16	BL17	BL18	BL19	BL20	BL21	BL22	BL23	BL24	BL25	BL26	BL27	BL28	BL29	BL30	BL31	BL32	BL33	BL34	BL35	BL36	BL37	BL38	BL39	BL40	BL41	BL42	BL43	BL44	BL45	BL46	BL47	BL48	BL49	BL50	BL51	BL52	BL53	BL54	BL55	BL56	BL57	BL58	BL59	BL60	BM1	BM2	BM3	BM4	BM5	BM6	BM7	BM8	BM9	BM10	BM11	BM12	BM13	BM14	BM15	BM16	BM17	BM18	BM19	BM20	BM21	BM22	BM23	BM24	BM25	BM26	BM27	BM28	BM29	BM30	BM31	BM32	BM33	BM34	BM35	BM36	BM37	BM38	BM39	BM40	BM41	BM42	BM43	BM44	BM45	BM46	BM47	BM48	BM49	BM50	BM51	BM52	BM53	BM54	BM55	BM56	BM57	BM58	BM59	BM60	BH1	BH2	BH3	BH4	BH5	BH6	BH7	BH8	BH9	BH10	BH11	BH12	BH13	BH14	BH15	BH16	BH17	BH18	BH19	BH20	BH21	BH22	BH23	BH24	BH25	BH26	BH27	BH28	BH29	BH30	BH31	BH32	BH33	BH34	BH35	BH36	BH37	BH38	BH39	BH40	BH41	BH42	BH43	BH44	BH45	BH46	BH47	BH48	BH49	BH50	BH51	BH52	BH53	BH54	BH55	BH56	BH57	BH58	BH59	BH60
ASV1	5471	4	1604	0	3048	1683	762	4304	292	21	3	731	401	2544	423	6950	3871	4598	2469	3356	1678	1087	3836	192	2873	5469	4969	0	55	5	5104	4801	3099	2021	529	5455	1685	1651	2534	2316	9135	3894	3761	875	2136	144	4158	3324	215	1899	1856	520	1376	2092	2855	3395	7276	78	2894	3219	4879	11	2127	0	2848	5936	2774	6368	1056	14	0	874	4036	4517	1250	9006	7549	6260	3062	3760	4280	2988	7484	1021	7489	8726	5898	0	0	0	5610	8574	6528	6404	7296	6108	0	3158	4141	7040	10148	4828	3662	2813	5295	849	7820	5384	1404	2684	3262	3512	1028	4652	6018	6169	4502	2501	3037	5545	0	0	0	0	0	0	30	6	0	11	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	20	22	0	2	0	0	0
ASV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	0	166	112	0	0	0	0	0	0	15	114	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	1154	67	7	0	20	6	3624	0	23	3	0	0	3	1499	0	13	0	0	0	0	0	11	0	0	0	0	4067	265	0	0	861	2035	0	0	0	0	0	0	0	5297	115	0	0	0	0	62	36	10	4	0	0	0	290	33	201	0	4	0	0	12	909	428	240	0	3105	1102	5810	1267	5199	2489	0	4986	149	5204	76	571	2838	3075	0	6717	590	2071	0	590	1287	0	4538	4328	6929	8233	1375	2906	360	168	3627	151	167	3513	2878	7126	5428	5184	2861	4335	4610	1860	1030	1830	317	4584	4495	1602	2860	307	2895	298	48	2162	2173	570	798	928	312
ASV4	0	0	679	0	2048	2600	5276	0	1707	0	0	2998	391	1407	1158	0	453	0	867	60	450	255	0	699	878	0	379	1253	36	0	0	354	13	46	0	108	195	622	117	276	39	35	344	1656	179	0	0	1328	355	422	2835	2827	1391	1179	0	1418	943	243	2431	2218	0	0	548	0	210	1137	3514	0	124	0	0	707	330	0	245	0	0	0	825	0	43	0	0	409	21	0	0	115	0	0	0	0	37	0	0	0	0	837	0	0	0	0	195	568	35	0	0	0	9	221	170	1315	35	575	0	0	589	264	1094	562	0	0	2518	0	3816	1086	1828	0	489	0	0	5160	2747	241	402	0	0	0	2604	0	0	61	0	327	526	0	0	109	0	10	0	25	0	0	0	0	0	660	316	368	0	0	246	245	545	0	399	911	9	2124	4902	1101	4363	4881	165	2720	4639	197	1833	4963
ASV3	0	3245	1597	0	21	6	196	0	1645	22	0	0	4022	195	3779	0	823	0	2620	0	2758	3939	118	2195	561	0	835	25	21	109	0	0	320	0	0	0	146	4307	94	332	41	424	2110	608	49	103	1957	265	4834	1212	0	2751	163	17	1104	660	97	354	567	35	0	161	3632	0	0	0	0	0	408	0	0	0	419	1227	3689	0	7	0	508	0	762	0	0	42	3	0	0	0	0	0	94	149	58	0	0	0	0	1188	67	0	0	0	2009	1241	15	0	149	0	1361	15	0	334	0	0	0	53	0	119	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
ASV6	1484	1087	0	0	295	433	847	2301	349	197	0	481	1491	1374	213	1640	698	4868	566	1552	956	0	1629	0	882	0	627	0	0	3	2620	1249	1844	1632	105	707	312	524	1629	1637	359	1259	378	884	2943	426	728	198	235	257	54	281	800	463	1857	544	551	92	286	171	427	241	0	0	0	56	0	431	152	0	0	345	231	0	183	431	332	269	752	548	207	0	1016	0	293	0	0	0	0	0	519	163	729	731	0	360	0	590	368	270	0	381	247	129	881	120	86	133	82	0	107	166	0	211	582	138	112	0	415	19	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	269	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	64	0	0	0	0	0	0	0	0	155	2	0	0	0	0	0	0	0	0	0	101	0	0	0	3079	161	0	0	0	0	0	0	0	0	0	0	0	0	0	296	474	0	0	3	0	0	0	0	0	0	0	0	0	0	735	0	0	0	1384	392	335	0	0	0	0	0	67	884	0	246	1197	752	0	77	3349	177	1340	2211	2816	0	497	0	0	0	2395	2231	5137	4946	1761	3621	2061	1130	203	0	0	0	0	0	1140	318	988	0	2226	112	0	2237	0	0	9	0	0	0	0	0	2461	0	0
ASV10	862	102	295	0	376	213	361	450	168	8497	0	448	296	1019	31	966	384	439	462	564	179	370	1058	220	379	5143	801	0	0	0	1710	1105	805	1058	7787	395	337	166	929	806	222	664	271	313	1586	692	520	135	24	26	70	50	856	471	866	525	12	0	303	342	258	126	0	0	0	13	0	0	0	0	0	0	43	0	55	0	0	0	240	0	25	0	0	0	14	0	0	0	0	0	84	61	24	0	0	0	0	13	24	15	0	0	104	25	49	0	24	0	0	20	0	21	18	14	68	31	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV11	0	0	0	7149	26	82	0	0	0	0	5411	0	0	109	46	0	0	0	0	0	0	0	0	0	0	0	193	4309	6055	6331	16	30	0	0	0	0	3598	0	0	0	420	0	5	0	0	0	0	10	12	0	0	0	0	33	0	0	10	207	0	0	0	495	0	1053	0	0	0	0	0	0	1058	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	350	1578	6074	0	0	0	0	0	0	732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV13	87	0	97	0	25	0	0	15	700	0	0	4	48	63	171	34	223	96	110	363	275	255	44	727	11	0	97	0	0	0	76	53	44	89	5	661	74	126	379	180	17	452	220	259	94	230	190	54	135	48	0	56	49	0	181	138	0	0	0	0	245	2776	222	0	0	0	0	289	4001	0	0	0	175	9	386	0	261	23	24	910	620	1579	246	212	19	207	0	0	0	285	39	163	232	143	0	1030	0	529	759	101	0	1584	91	62	369	5117	444	19	857	55	0	133	14	0	650	41	0	0	8	4	201	10	0	0	4	0	0	195	0	0	5	0	196	0	0	0	3	0	18	33	519	98	256	0	0	0	0	0	0	0	36	0	147	837	0	288	0	0	155	3	0	21	0	0	0	483	0	21	0	0	0	0	31	0	38	0	0	11	0	0
ASV8	0	0	0	0	57	0	0	0	0	0	0	32	0	75	0	0	0	8	36	0	0	0	0	0	15	0	0	0	0	0	0	0	0	32	0	0	0	15	0	0	0	0	0	0	0	0	31	20	0	26	6	0	24	23	36	42	32	0	28	18	39	0	84	0	108	0	27	99	0	0	0	64	0	41	23	26	113	126	0	0	29	76	59	0	195	50	0	0	0	11	187	0	139	286	350	0	0	44	29	68	0	80	0	0	74	0	0	89	0	26	23	28	0	164	179	77	52	27	144	99	6576	0	49	0	207	15	29	6514	85	0	0	103	39	0	0	0	82	55	0	3613	100	0	4480	0	930	0	0	0	0	0	0	0	812	1171	0	0	0	134	47	1227	0	0	0	0	2420	0	487	261	0	94	0	69	0	0	678	130	0	0	0	30
