ASV_ID	RL1	RL2	RL3	RL4	RL5	RL6	RL7	RL8	RL9	RL10	RL11	RL12	RL13	RL14	RL15	RL16	RL17	RL18	RL19	RL20	RL21	RL22	RL23	RL24	RL25	RL26	RL27	RL28	RL29	RL30	RL31	RL32	RL33	RL34	RL35	RL36	RL37	RL38	RL39	RL40	RL41	RL42	RL43	RL44	RL45	RL46	RL47	RL48	RL49	RL50	RL51	RL52	RL53	RL54	RL55	RL56	RL57	RL58	RL59	RL60	RM1	RM2	RM3	RM4	RM5	RM6	RM7	RM8	RM9	RM10	RM11	RM12	RM13	RM14	RM15	RM16	RM17	RM18	RM19	RM20	RM21	RM22	RM23	RM24	RM25	RM26	RM27	RM28	RM29	RM30	RM31	RM32	RM33	RM34	RM35	RM36	RM37	RM38	RM39	RM40	RM41	RM42	RM43	RM44	RM45	RM46	RM47	RM48	RM49	RM50	RM51	RM52	RM53	RM54	RM55	RM56	RM57	RM58	RM59	RM60	RH1	RH2	RH3	RH4	RH5	RH6	RH7	RH8	RH9	RH10	RH11	RH12	RH13	RH14	RH15	RH16	RH17	RH18	RH19	RH20	RH21	RH22	RH23	RH24	RH25	RH26	RH27	RH28	RH29	RH30	RH31	RH32	RH33	RH34	RH35	RH36	RH37	RH38	RH39	RH40	RH41	RH42	RH43	RH44	RH45	RH46	RH47	RH48	RH49	RH50	RH51	RH52	RH53	RH54	RH55	RH56	RH57	RH58	RH59	RH60
ASV1	21	0	0	0	401	16	13	10	0	0	9	204	0	103	0	931	0	77	61	0	7	0	50	0	137	586	841	0	0	0	50	12	0	6	0	10	0	0	3	0	1813	0	0	3	5	0	7	218	0	39	2384	20	194	1068	4	78	1119	0	447	2179	4963	0	6347	0	8158	5031	3432	5737	2251	3	0	4543	1897	5374	3047	5881	4794	5546	5643	4396	6354	6019	6301	329	7229	6687	4242	8	0	49	2424	6020	4291	4808	7103	3691	0	4143	4862	5760	11125	4019	4333	4070	5593	175	4795	7934	1050	7791	8942	6947	1150	8711	5565	5472	9658	6292	4660	9436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4
ASV3	385	6869	3169	4	0	88	306	466	1580	346	0	0	1345	1718	3429	465	2622	1613	2982	2311	2132	6350	489	1766	22	1028	249	2499	34	1244	1613	898	398	1322	0	1300	0	675	56	4149	612	3745	3347	2343	1016	4859	2951	1298	3666	3641	69	1560	76	0	1644	1601	1831	4342	2823	1543	0	33	330	0	0	0	0	0	301	3	0	0	355	190	1276	0	0	0	34	0	46	0	0	305	0	0	0	152	0	190	336	13	0	0	0	0	0	148	0	0	0	0	1798	773	3	0	20	10	187	307	0	193	0	0	4	32	20	184	382	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7	0	108	37	8034	81	134	0	67	154	0	8346	0	50	129	99	114	91	135	65	0	0	118	106	56	359	40	0	4866	7027	675	477	1106	97	87	518	137	0	24	0	0	135	86	0	0	122	883	0	22	22	15	13	18	0	33	20	0	19	129	17	0	86	0	229	1368	64	61	24	105	407	0	269	651	501	335	392	153	139	258	155	84	159	574	309	0	690	276	0	2974	1463	553	481	177	435	374	933	117	10989	352	72	0	0	250	378	96	128	1223	192	37	449	23	0	102	81	19	115	66	9	0	51	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV9	248	315	683	0	1119	1857	1727	279	569	4367	0	563	267	552	582	546	220	1241	173	342	1021	473	415	72	763	616	0	0	3	108	1095	833	1032	951	1980	196	133	1220	1363	231	283	605	618	196	1759	386	490	672	661	639	1856	1643	350	1678	454	487	1466	273	646	1017	107	232	43	0	86	33	37	44	17	2680	0	241	42	418	83	151	186	167	105	98	188	115	178	0	204	67	0	0	0	116	481	0	228	197	586	24	0	62	229	150	0	60	145	224	252	0	196	149	0	109	315	259	183	249	55	105	52	18	60	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4	0	0	0	0	17	184	19	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	45	0	0	0	0	0	27	0	0	86	743	0	0	0	0	131	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	29	0	0	0	0	0	0	22	22	0	0	0	0	38	56	44	47	0	32	1316	0	3247	110	2695	0	130	0	0	2007	3511	965	191	22	0	0	1051	14	0	178	0	0	72	0	0	22	0	60	0	346	0	46	3591	0	0	1482	180	0	0	0	87	960	488	0	207	751	0	1896	2914	709	1299	5298	116	1434	2406	86	1193	3366
ASV12	2327	26	0	0	295	1449	817	3394	285	0	0	0	330	308	110	357	1130	873	706	1236	160	0	2596	58	472	38	0	0	0	0	53	0	887	711	299	1350	127	314	549	653	566	1307	325	197	529	236	519	336	0	267	0	366	390	11	1598	457	0	62	45	0	252	635	0	0	26	627	16	934	238	661	0	167	329	115	98	815	295	541	399	667	199	0	521	0	179	265	0	0	0	36	476	227	724	215	0	209	0	451	268	239	0	650	145	200	1016	316	454	118	164	127	18	96	58	39	481	270	34	18	65	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV14	876	0	251	0	720	1181	1104	583	1602	0	0	1467	1047	963	224	0	419	104	567	567	506	0	212	0	982	0	0	0	0	148	0	0	1366	955	0	618	0	1287	1442	817	621	0	583	1095	0	0	968	912	393	431	392	972	1042	817	631	790	166	365	280	238	751	0	0	0	23	505	0	0	220	43	0	223	433	292	42	35	336	169	433	0	195	0	0	0	123	0	0	0	0	0	70	232	568	358	0	0	0	221	691	445	0	539	90	237	590	259	503	245	224	83	0	92	124	58	459	199	29	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	732	0	5746	6	0	0	71	103	0	1250	0	0	0	0	15	209	4415	20	0	323	0	0	0	0	0	0	5242	4626	0	5397	778	956	0	0	0	0	0	0	0	0	138	506	114	0	104	0	0	507	0	0	0	0	0	0	0	0	75	0	0
ASV15	624	70	1204	0	299	588	617	518	783	0	0	1252	1491	256	1261	218	480	208	424	440	1428	0	840	1077	862	0	0	0	0	131	0	0	378	361	346	537	29	830	590	317	291	0	304	1772	397	0	249	369	1737	280	111	466	535	133	282	444	0	663	262	0	0	679	0	0	23	168	3	0	0	163	0	122	427	104	122	99	139	71	213	216	119	0	308	26	244	0	0	0	0	0	93	399	139	116	66	104	0	112	228	267	0	0	147	415	370	265	235	100	0	96	18	74	21	26	221	158	39	12	57	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	916	0	0	0	0	0	207	803	0	0	0	163	200	769	0	107	0	0	647	240	0	225	0	0	0	0	0	0	3147	0	0	45	46	0	2822	0	0	207	102	0	1000	66	30	64	2595	0	43	1323	0	0	0	0	0	303	0	0	3	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	253	3024	0	892	0	1011	0	2679	0	0	0	0	0	0	0	0	3457	0	0	131	1179	0	0	0	0	0	546	0	0	335	503	0	744	0	0	1339	0	0	689	0	0	0	0	0	0	0	0
