Sample	Tech	Tem	Type
BS	BS	BS	BS
RS	RS	RS	RS
BL1	BC	LT	BCL
BL2	BC	LT	BCL
BL3	BC	LT	BCL
BL4	BC	LT	BCL
BL5	BC	LT	BCL
BL6	BC	LT	BCL
BL7	BC	LT	BCL
BL8	BC	LT	BCL
BL9	BC	LT	BCL
BL10	BC	LT	BCL
BL11	BC	LT	BCL
BL12	BC	LT	BCL
BL13	BC	LT	BCL
BL14	BC	LT	BCL
BL15	BC	LT	BCL
BL16	BC	LT	BCL
BL17	BC	LT	BCL
BL18	BC	LT	BCL
BL19	BC	LT	BCL
BL20	BC	LT	BCL
BL21	BC	LT	BCL
BL22	BC	LT	BCL
BL23	BC	LT	BCL
BL24	BC	LT	BCL
BL25	BC	LT	BCL
BL26	BC	LT	BCL
BL27	BC	LT	BCL
BL28	BC	LT	BCL
BL29	BC	LT	BCL
BL30	BC	LT	BCL
BL31	BC	LT	BCL
BL32	BC	LT	BCL
BL33	BC	LT	BCL
BL34	BC	LT	BCL
BL35	BC	LT	BCL
BL36	BC	LT	BCL
BL37	BC	LT	BCL
BL38	BC	LT	BCL
BL39	BC	LT	BCL
BL40	BC	LT	BCL
BL41	BC	LT	BCL
BL42	BC	LT	BCL
BL43	BC	LT	BCL
BL44	BC	LT	BCL
BL45	BC	LT	BCL
BL46	BC	LT	BCL
BL47	BC	LT	BCL
BL48	BC	LT	BCL
BL49	BC	LT	BCL
BL50	BC	LT	BCL
BL51	BC	LT	BCL
BL52	BC	LT	BCL
BL53	BC	LT	BCL
BL54	BC	LT	BCL
BL55	BC	LT	BCL
BL56	BC	LT	BCL
BL57	BC	LT	BCL
BL58	BC	LT	BCL
BL59	BC	LT	BCL
BL60	BC	LT	BCL
BM1	BC	MT	BCM
BM2	BC	MT	BCM
BM3	BC	MT	BCM
BM4	BC	MT	BCM
BM5	BC	MT	BCM
BM6	BC	MT	BCM
BM7	BC	MT	BCM
BM8	BC	MT	BCM
BM9	BC	MT	BCM
BM10	BC	MT	BCM
BM11	BC	MT	BCM
BM12	BC	MT	BCM
BM13	BC	MT	BCM
BM14	BC	MT	BCM
BM15	BC	MT	BCM
BM16	BC	MT	BCM
BM17	BC	MT	BCM
BM18	BC	MT	BCM
BM19	BC	MT	BCM
BM20	BC	MT	BCM
BM21	BC	MT	BCM
BM22	BC	MT	BCM
BM23	BC	MT	BCM
BM24	BC	MT	BCM
BM25	BC	MT	BCM
BM26	BC	MT	BCM
BM27	BC	MT	BCM
BM28	BC	MT	BCM
BM29	BC	MT	BCM
BM30	BC	MT	BCM
BM31	BC	MT	BCM
BM32	BC	MT	BCM
BM33	BC	MT	BCM
BM34	BC	MT	BCM
BM35	BC	MT	BCM
BM36	BC	MT	BCM
BM37	BC	MT	BCM
BM38	BC	MT	BCM
BM39	BC	MT	BCM
BM40	BC	MT	BCM
BM41	BC	MT	BCM
BM42	BC	MT	BCM
BM43	BC	MT	BCM
BM44	BC	MT	BCM
BM45	BC	MT	BCM
BM46	BC	MT	BCM
BM47	BC	MT	BCM
BM48	BC	MT	BCM
BM49	BC	MT	BCM
BM50	BC	MT	BCM
BM51	BC	MT	BCM
BM52	BC	MT	BCM
BM53	BC	MT	BCM
BM54	BC	MT	BCM
BM55	BC	MT	BCM
BM56	BC	MT	BCM
BM57	BC	MT	BCM
BM58	BC	MT	BCM
BM59	BC	MT	BCM
BM60	BC	MT	BCM
BH1	BC	HT	BCH
BH2	BC	HT	BCH
BH3	BC	HT	BCH
BH4	BC	HT	BCH
BH5	BC	HT	BCH
BH6	BC	HT	BCH
BH7	BC	HT	BCH
BH8	BC	HT	BCH
BH9	BC	HT	BCH
BH10	BC	HT	BCH
BH11	BC	HT	BCH
BH12	BC	HT	BCH
BH13	BC	HT	BCH
BH14	BC	HT	BCH
BH15	BC	HT	BCH
BH16	BC	HT	BCH
BH17	BC	HT	BCH
BH18	BC	HT	BCH
BH19	BC	HT	BCH
BH20	BC	HT	BCH
BH21	BC	HT	BCH
BH22	BC	HT	BCH
BH23	BC	HT	BCH
BH24	BC	HT	BCH
BH25	BC	HT	BCH
BH26	BC	HT	BCH
BH27	BC	HT	BCH
BH28	BC	HT	BCH
BH29	BC	HT	BCH
BH30	BC	HT	BCH
BH31	BC	HT	BCH
BH32	BC	HT	BCH
BH33	BC	HT	BCH
BH34	BC	HT	BCH
BH35	BC	HT	BCH
BH36	BC	HT	BCH
BH37	BC	HT	BCH
BH38	BC	HT	BCH
BH39	BC	HT	BCH
BH40	BC	HT	BCH
BH41	BC	HT	BCH
BH42	BC	HT	BCH
BH43	BC	HT	BCH
BH44	BC	HT	BCH
BH45	BC	HT	BCH
BH46	BC	HT	BCH
BH47	BC	HT	BCH
BH48	BC	HT	BCH
BH49	BC	HT	BCH
BH50	BC	HT	BCH
BH51	BC	HT	BCH
BH52	BC	HT	BCH
BH53	BC	HT	BCH
BH54	BC	HT	BCH
BH55	BC	HT	BCH
BH56	BC	HT	BCH
BH57	BC	HT	BCH
BH58	BC	HT	BCH
BH59	BC	HT	BCH
BH60	BC	HT	BCH
RL1	RC	LT	RCL
RL2	RC	LT	RCL
RL3	RC	LT	RCL
RL4	RC	LT	RCL
RL5	RC	LT	RCL
RL6	RC	LT	RCL
RL7	RC	LT	RCL
RL8	RC	LT	RCL
RL9	RC	LT	RCL
RL10	RC	LT	RCL
RL11	RC	LT	RCL
RL12	RC	LT	RCL
RL13	RC	LT	RCL
RL14	RC	LT	RCL
RL15	RC	LT	RCL
RL16	RC	LT	RCL
RL17	RC	LT	RCL
RL18	RC	LT	RCL
RL19	RC	LT	RCL
RL20	RC	LT	RCL
RL21	RC	LT	RCL
RL22	RC	LT	RCL
RL23	RC	LT	RCL
RL24	RC	LT	RCL
RL25	RC	LT	RCL
RL26	RC	LT	RCL
RL27	RC	LT	RCL
RL28	RC	LT	RCL
RL29	RC	LT	RCL
RL30	RC	LT	RCL
RL31	RC	LT	RCL
RL32	RC	LT	RCL
RL33	RC	LT	RCL
RL34	RC	LT	RCL
RL35	RC	LT	RCL
RL36	RC	LT	RCL
RL37	RC	LT	RCL
RL38	RC	LT	RCL
RL39	RC	LT	RCL
RL40	RC	LT	RCL
RL41	RC	LT	RCL
RL42	RC	LT	RCL
RL43	RC	LT	RCL
RL44	RC	LT	RCL
RL45	RC	LT	RCL
RL46	RC	LT	RCL
RL47	RC	LT	RCL
RL48	RC	LT	RCL
RL49	RC	LT	RCL
RL50	RC	LT	RCL
RL51	RC	LT	RCL
RL52	RC	LT	RCL
RL53	RC	LT	RCL
RL54	RC	LT	RCL
RL55	RC	LT	RCL
RL56	RC	LT	RCL
RL57	RC	LT	RCL
RL58	RC	LT	RCL
RL59	RC	LT	RCL
RL60	RC	LT	RCL
RM1	RC	MT	RCM
RM2	RC	MT	RCM
RM3	RC	MT	RCM
RM4	RC	MT	RCM
RM5	RC	MT	RCM
RM6	RC	MT	RCM
RM7	RC	MT	RCM
RM8	RC	MT	RCM
