Phylum	BCL	BCM	BCH	RCL	RCM	RCH	LT	MT	HT	BC	RC	BS	RS	OSS	MCS	Total
Bacillota	236	314	387	190	228	776	391	485	1015	685	1046	44	61	95	1518	1585
Actinomycetota	210	238	93	250	349	207	389	497	257	372	620	105	67	160	829	965
Pseudomonadota	49	90	12	137	170	55	176	241	60	110	300	150	184	318	381	671
Bacteroidota	11	15	1	73	31	21	81	44	22	25	114	52	76	123	133	253
Verrucomicrobiota	0	2	0	0	1	4	0	3	4	2	4	39	13	51	6	57
Gemmatimonadota	0	0	0	0	0	0	0	0	0	0	0	25	25	50	0	50
unclassified	0	0	0	2	0	0	2	0	0	0	2	40	2	42	2	44
Planctomycetota	0	0	0	0	0	0	0	0	0	0	0	42	2	44	0	44
Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	32	13	44	0	44
Others	2	0	0	3	6	3	5	6	3	2	11	32	22	53	13	66
