phylum	BS	RS	BC	RC	BL1	BL2	BL3	BL4	BL5	BL6	BL7	BL8	BL9	BL10	BL11	BL12	BL13	BL14	BL15	BL16	BL17	BL18	BL19	BL20	BL21	BL22	BL23	BL24	BL25	BL26	BL27	BL28	BL29	BL30	BL31	BL32	BL33	BL34	BL35	BL36	BL37	BL38	BL39	BL40	BL41	BL42	BL43	BL44	BL45	BL46	BL47	BL48	BL49	BL50	BL51	BL52	BL53	BL54	BL55	BL56	BL57	BL58	BL59	BL60	BM1	BM2	BM3	BM4	BM5	BM6	BM7	BM8	BM9	BM10	BM11	BM12	BM13	BM14	BM15	BM16	BM17	BM18	BM19	BM20	BM21	BM22	BM23	BM24	BM25	BM26	BM27	BM28	BM29	BM30	BM31	BM32	BM33	BM34	BM35	BM36	BM37	BM38	BM39	BM40	BM41	BM42	BM43	BM44	BM45	BM46	BM47	BM48	BM49	BM50	BM51	BM52	BM53	BM54	BM55	BM56	BM57	BM58	BM59	BM60	BH1	BH2	BH3	BH4	BH5	BH6	BH7	BH8	BH9	BH10	BH11	BH12	BH13	BH14	BH15	BH16	BH17	BH18	BH19	BH20	BH21	BH22	BH23	BH24	BH25	BH26	BH27	BH28	BH29	BH30	BH31	BH32	BH33	BH34	BH35	BH36	BH37	BH38	BH39	BH40	BH41	BH42	BH43	BH44	BH45	BH46	BH47	BH48	BH49	BH50	BH51	BH52	BH53	BH54	BH55	BH56	BH57	BH58	BH59	BH60	RL1	RL2	RL3	RL4	RL5	RL6	RL7	RL8	RL9	RL10	RL11	RL12	RL13	RL14	RL15	RL16	RL17	RL18	RL19	RL20	RL21	RL22	RL23	RL24	RL25	RL26	RL27	RL28	RL29	RL30	RL31	RL32	RL33	RL34	RL35	RL36	RL37	RL38	RL39	RL40	RL41	RL42	RL43	RL44	RL45	RL46	RL47	RL48	RL49	RL50	RL51	RL52	RL53	RL54	RL55	RL56	RL57	RL58	RL59	RL60	RM1	RM2	RM3	RM4	RM5	RM6	RM7	RM8	RM9	RM10	RM11	RM12	RM13	RM14	RM15	RM16	RM17	RM18	RM19	RM20	RM21	RM22	RM23	RM24	RM25	RM26	RM27	RM28	RM29	RM30	RM31	RM32	RM33	RM34	RM35	RM36	RM37	RM38	RM39	RM40	RM41	RM42	RM43	RM44	RM45	RM46	RM47	RM48	RM49	RM50	RM51	RM52	RM53	RM54	RM55	RM56	RM57	RM58	RM59	RM60	RH1	RH2	RH3	RH4	RH5	RH6	RH7	RH8	RH9	RH10	RH11	RH12	RH13	RH14	RH15	RH16	RH17	RH18	RH19	RH20	RH21	RH22	RH23	RH24	RH25	RH26	RH27	RH28	RH29	RH30	RH31	RH32	RH33	RH34	RH35	RH36	RH37	RH38	RH39	RH40	RH41	RH42	RH43	RH44	RH45	RH46	RH47	RH48	RH49	RH50	RH51	RH52	RH53	RH54	RH55	RH56	RH57	RH58	RH59	RH60
Bacillota	0.249722178	0.428235663	0.541980712	0.367814415	0.019432534	0.730836237	0.63085018	1	0.50491348	0.60820072	0.759302119	0.00856428	0.803153888	0.005989127	0.999692843	0.59848651	0.545765784	0.363775667	0.873317092	0.003057829	0.287110109	0.010733784	0.530738861	0.235561136	0.505188534	0.723646724	0.017903803	0.722197607	0.467840593	0.001740341	0.220473833	0.999427131	0.993647541	0.999184173	0.01079264	0.197972675	0.049189704	0.034027778	0.088217095	0.235987931	0.711194646	0.649910063	0.181726999	0.12092452	0.049248597	0.244324324	0.357974781	0.457619675	0.060536836	0.722915536	0.255748475	0.339118661	0.834720908	0.297181992	0.702374379	0.86417657	0.369567972	0.329343789	0.161406937	0.333023256	0.172606082	0.945483301	0.528794881	0.489825406	0.034055728	0.629174372	0.734354445	1	0.053303513	0.38493841	0.64359132	0.123175927	0.743704952	0.000277444	1	0.09380748	0.193284193	0.163214947	0.687679083	0.001106705	0.035755275	0.030672677	0.246772767	0.24160401	0.396699797	0.33821679	0.054661242	0.758924299	0.033590598	0.031045609	0	0.993993994	1	0.99291211	0.012350098	0.078206465	0.035983851	0.053758703	0.005895293	0.241260015	0.995011249	0.44473377	0.29253131	0.011233935	0	0.351414881	0.384698276	0.448245393	0.063714705	0.810397857	0.078422877	0.012482822	0.741915095	0.111804541	0.039804772	0.452327913	0.006610009	0.080912863	0.172343626	0.051467415	0.078869565	0.66756631	0.346864127	0.127437079	0.300613497	0.997789811	0.980980249	1	0.950138779	0.983401618	0.929515925	0.284434695	0.897430926	0.178453091	1	0.965652858	0.960131435	0.981860217	0.995946859	0.851620289	0.972591285	0.990845138	0.980372648	0.555826118	0.940472408	0.990161784	0.213319183	0.983189098	0.731631382	0.984004266	0.912401055	1	1	0.999324259	0.984280199	0.99950005	0.89686941	0.81091802	0.933152287	0.912511131	1	0.974658124	0.986147827	0.732015585	0.833376747	0.982406535	1	0.818231441	0.687684366	0.986193519	0.888174574	0.955829435	0.993043478	0.963251021	0.971641138	0.720433535	0.890527059	0.92294128	0.847498831	0.945535149	0.947906567	0.966130483	0.736026349	0.9520837	0.044485445	0.800169667	0.44521688	0.270903306	0.012129243	0.064236271	0.145609277	0.057149495	0.268841167	0.042957746	0.243252778	0	0.314980105	0.268730708	0.499311611	0.060658935	0.359080367	0.210761028	0.428471459	0.389640549	0.287015522	0.763839415	0.054414677	0.551252847	0.006011207	0.124922505	0.032519384	0.355296882	0.14911032	0.656112469	0.238342518	0.152607037	0.045524612	0.196994668	0	0.240263515	0.849634065	0.164999484	0.011805265	0.512832478	0.088966041	0.494620078	0.446694796	0.349802181	0.149808469	0.664691567	0.3854188	0.184385048	0.468831898	0.532279051	0.052109629	0.218125644	0.016102435	0.002615912	0.214753938	0.23684714	0.332585681	0.640835953	0.413191529	0.236606731	0.087866928	0.310753923	0.222964218	0.754833633	0.017582418	0.116991373	0.136726453	0.030135301	0.467496542	0.003203845	0.96858034	0.029839749	0.189149406	0.076916245	0.388482461	0.000872685	0.031703485	0.028407311	0.026040658	0.133856502	0.056808841	0.14137589	0.036860199	0.728202707	0.001869159	0.021613073	0	0.276404251	0.742532994	0.686615534	0.089090909	0.004033114	0.008789723	0.019419503	0.00963183	0.505976489	0.026509831	0.067206478	0.047950905	0.013274799	0	0.209896433	0.241982802	0.159543193	0.009808828	0.534343201	0.017771273	0.013964518	0.370248136	0.062014086	0.012822765	0.043571238	0.031622365	0.003224362	0.062440419	0.020082797	0.018121334	0.078032308	0.139326051	0.020993031	0.589789521	0.973335085	0.812660489	1	0.699395907	0.993734805	0.914428423	0.263776914	0.682053532	0.303962704	1	0.369708373	0.833298075	0.562767296	0.967036484	0.066224564	0.4726706	0.95058296	0.737548082	0.207000946	0.822002586	0.708436469	0.567547656	0.934915848	0.501504212	0.29025293	0.071770784	0.987871674	1	0.889673697	0.960472379	0.985456198	0.586507572	0.484848485	0.725031181	0.430909267	0.938811736	0.628209831	0.383265738	0.401403898	0	0.74177133	0.898598781	0.837891009	0.296062691	0.877639304	0.856809827	0.465480043	0.87399245	0.463620774	0.700163399	0.839684491	0.241724491	0.717046438	0.7366975	0.493664776	0.849525282	0.928763163	0.800453301	0.882402391
Actinomycetota	0.220034926	0.135224068	0.194903017	0.425326454	0.463278898	0.268728223	0.113541955	0	0.143452254	0.179231037	0.158803632	0.577270978	0.164654704	0.992075924	0	0.217920597	0.413855604	0.374399837	0.072445185	0.358665348	0.317267944	0.562968446	0.220154164	0.424956539	0.321689099	0.146066185	0.600309687	0.256535224	0.252085264	0.465106161	0.229490806	0.000572869	0.000717213	0.000305935	0.466648974	0.365711767	0.642993327	0.764880952	0.860160877	0.244765475	0.12414046	0.159140396	0.574450625	0.576820009	0.086185044	0.382702703	0.25276735	0.442028986	0.728250524	0.264062217	0.338151103	0.170359429	0.144938505	0.444706411	0.034373274	0.075764007	0.348916762	0.291236759	0.551441133	0.305674419	0.120937527	0.04726021	0.092428013	0.106080674	0.446704998	0.369629066	0.045856042	0	0.11648495	0.032941396	0.048932619	0.250430527	0.15604231	0.998427818	0	0.111587983	0.339782965	0.193707588	0.163085005	0.123120907	0.195109032	0.126668435	0.242970822	0.352180451	0.143201776	0.361944994	0.28153193	0.131878649	0.292931065	0.067934072	0.302729529	0.006006006	0	0.00708789	0.31904421	0.100538756	0.36220818	0.361152728	0.189617246	0.17070284	0.004988751	0.138636976	0.228540086	0.329558731	0	0.152789079	0.242456897	0.15816713	0.283553355	0.094652247	0.186481802	0.175561154	0.103128621	0.108750498	0.249457701	0.118846068	0.08903278	0.149953896	0.21534106	0.097324126	0.190869565	0.011074919	0.104558837	0.234668557	0.675297726	0.002210189	0.013411363	0	0.044012688	0.009559828	0.056341267	0.658440728	0.082598158	0.820505538	0	0.014158364	0.032092004	0.017072737	0.004053141	0.148379711	0.024900121	0.009154862	0.019175109	0.420725108	0.050100625	0.009510275	0.784027594	0.000596837	0.169572437	0.015551409	0.087335092	0	0	0.000675741	0.015719801	0.00049995	0.101252236	0.172176048	0.047002298	0.087488869	0	0.015970164	0.012900497	0.200798251	0.166623253	0.017593465	0	0.002292576	0.290099558	0.013806481	0.087196668	0.031216265	0.001847826	0.025568734	0.001137856	0.012219743	0.005650216	0.008464116	0.149228612	0.015470913	0.020273248	0.016485163	0.003293616	0.005714788	0.896781468	0.197662362	0.507784197	0.72874315	0.826113546	0.931795108	0.811184887	0.919851318	0.724574554	0.957042254	0.755953431	0.942057212	0.670502205	0.687307081	0.487563102	0.736118239	0.61823132	0.766262724	0.55013496	0.599656704	0.701552189	0.214691441	0.923485875	0.444191344	0.960264901	0.717296962	0.698414535	0.644703118	0.849199288	0.343887531	0.720114455	0.804719514	0.93566951	0.786524479	0.858603066	0.753729897	0.121756487	0.828606786	0.966673631	0.481661223	0.540631442	0.502717693	0.553305204	0.636205732	0.749456465	0.325997249	0.583350399	0.712520096	0.526301011	0.43158843	0.634240894	0.751493306	0.770491803	0.791538878	0.769592016	0.720107136	0.512829715	0.354447938	0.362160649	0.489903181	0.415851272	0.666539099	0.14053623	0.245166367	0.083516484	0.375205971	0.04516856	0.381508815	0.244310323	0.996495795	0.03141966	0.391232271	0.602460309	0.393640643	0.296192084	0.423252206	0.510398373	0.360313316	0.407163601	0.368946188	0.335829756	0.310431882	0.358957219	0.216084356	0.337872719	0.388244597	0.607681263	0.722728259	0.257467006	0.300097224	0.641283422	0.351093186	0.503944106	0.43714763	0.293725808	0.128321644	0.973490169	0.446255061	0.438007073	0.37158984	0.016216675	0.321058688	0.312392514	0.328810493	0.418076269	0.441373728	0.434350826	0.221763569	0.479403496	0.12622336	0.133233796	0.292702486	0.16507791	0.141334528	0.3914204	0.310490619	0.098397969	0.069818381	0.116830217	0.093902439	0.410210479	0.026664915	0.103494474	0	0.28302227	0.005797644	0.05579116	0.735559139	0.317946468	0.694731935	0	0.091355702	0.166701925	0.352075472	0.03221677	0.933775436	0.525659579	0.048251121	0.25081369	0.731504257	0.177073711	0.287025578	0.430426374	0.064597724	0.161752908	0.70974707	0.928041334	0.012128326	0	0.110326303	0.039527621	0.014543802	0.413308857	0.515151515	0.243499952	0.569090733	0.061188264	0.363352898	0.615676248	0.537360303	0.999823649	0.25822867	0.101401219	0.125024592	0.703937309	0.122360696	0.143010849	0.275728155	0.124681155	0.102400784	0.072201797	0.104179471	0.100443636	0.15210076	0.251030314	0.07397128	0.148156326	0.063080735	0.012749079	0.102465907
Pseudomonadota	0.192411494	0.256816045	0.250859049	0.198705743	0.517288569	0.00043554	0.251730822	0	0.340632344	0.212568243	0.08189425	0.414164742	0.031756389	0.001934949	0.000307157	0.183592893	0.040378612	0.261824497	0.054237723	0.638276823	0.369409996	0.425464976	0.249106975	0.338709677	0.172403164	0.128533859	0.381786509	0.021267169	0.280074143	0.533153498	0.455003536	0	0.005635246	0.000509892	0.522558386	0.435522257	0.307340324	0.200496032	0.051622028	0.518240834	0.164206473	0.190949541	0.236254217	0.28338544	0.863842115	0.370720721	0.389257869	0.100351339	0.21121264	0.013022246	0.405631159	0.488183161	0.020340587	0.253733019	0.262424075	0.05942275	0.271126314	0.376943183	0.285197851	0.35944186	0.703406814	0.007256489	0.378777106	0.400361228	0.511189739	0.001196563	0.219789513	0	0.681017613	0.564389698	0.251691118	0.585062993	0.098848638	0.001294738	0	0.663151441	0.437448812	0.618930114	0.149235912	0.874204556	0.713428092	0.70838858	0.383377542	0.401102757	0.414937759	0.288063994	0.661949407	0.106804479	0.669794773	0.770995029	0.676556263	0	0	0	0.558528727	0.8030935	0.600579252	0.581915925	0.775714914	0.57328842	0	0.364730179	0.385958497	0.652556844	0.96036795	0.436488563	0.372844828	0.368467559	0.532086542	0.093461653	0.69644714	0.807718736	0.148530496	0.773602443	0.537852495	0.421474716	0.895049238	0.701475334	0.587720074	0.839987052	0.689217391	0.321358772	0.541529128	0.606788373	0.024088777	0	0.005608388	0	0.005848533	0.007038554	0.012303093	0.057124577	0.019970916	0.001041371	0	0.020188778	0.007776561	0.001067046	0	0	0.002508594	0	0.000452243	0.023448773	0.009426967	0.000327941	0.002653224	0.016214065	0.098796181	0.000444326	0.000263852	0	0	0	0	0	0.001878354	0.016905931	0.019845415	0	0	0.009371713	0.000951676	0.067186164	0	0	0	0.179475983	0.022216077	0	0.024628758	0.0129543	0.005108696	0.011180245	0.027221007	0.267346722	0.103822724	0.068594604	0.003272557	0.038993938	0.031820185	0.017384354	0.260680035	0.042201512	0.038232882	0	0.001272887	0.000353544	0.101722556	0.00396862	0.008136164	0.001161575	0	0	0.000793791	0.057942788	0.000537692	0.017771958	0.000550711	0.145540388	0.000605022	0.009015996	0.011496551	0	0.002323636	0	0.006775774	0	0.022720326	0.091134532	0.232380512	0	0.001690391	0	0.010597711	0.003815176	0.00164423	0.005622879	0.127129472	0.000968804	0.01473244	0	0.000940242	0	0.363784312	0	0	0.003473898	0.001863547	0	0.001331149	0.060992765	0.000187196	0.01291162	0.29002885	0.013182286	0.07372199	0.170755908	0.001076216	0.02697532	0.131437287	0.004438691	0.180427279	0.253204242	0.495988258	0.011481056	0.635801854	0	0.878153846	0.506833382	0.79847873	0.588355884	0.28668427	0.00030036	0	0.577270216	0.207759436	0.527133848	0.311480023	0.575875109	0.456326832	0.599895561	0.564085189	0.494394619	0.60690474	0.54656929	0.604182582	0.055712937	0.659813084	0.59014233	0.392318737	0.000867491	0	0.011018689	0.267486631	0.64349395	0.486251972	0.543432867	0.696642362	0.364615233	0	0.486234818	0.511441648	0.615135361	0.96484972	0.469044879	0.445624684	0.506445047	0.568611751	0.021392229	0.547668827	0.763393641	0.149981665	0.81112229	0.852099069	0.663726276	0.793125573	0.85463502	0.545567207	0.65850436	0.882517727	0.852149311	0.7319015	0.882752613	0	0	0.083845037	0	0.017581823	0.000280531	0.029780417	0.000663948	0	0	0	0.538935926	0	0.085157233	0	0	0	0.001165919	0.011145083	0.061494797	0.000923702	0.004537954	0	0	0.335940634	0	0.000187882	0	0	0	0	0	0.00018357	0	0.031468867	0	0	0.008437271	0.000705343	0.061235799	0	0	0	0.00373795	0	0	0.000179324	0.252211435	0	0.433978442	0.227634804	0.056136038	0.657831874	0.130852803	0.012272186	0.432363944	0.001545595	0.007639893	0.18679762	0.015131702
Bacteroidota	0.098745833	0.112973989	0.012248594	0.007887368	0	0	0.003877042	0	0.011001923	0	0	0	0.000435019	0	0	0	0	0	0	0	0.02621195	0.000832794	0	0.000772648	0.000719203	0.001753233	0	0	0	0	0.094236209	0	0	0	0	0.000793301	0.000476644	0.000595238	0	0.00100576	0.000458421	0	0.007568159	0.018870031	0.000724244	0.002252252	0	0	0	0	0.000469263	0.002338749	0	0.004378579	0.000828272	0.000636672	0.010388952	0.002476269	0.001954079	0.001860465	0.003049577	0	0	0.003732691	0.008049536	0	0	0	0.149193924	0.017730496	0.055784942	0.041330554	0.0014041	0	0	0.131453096	0.029484029	0.024147352	0	0.001567832	0.055707601	0.134270308	0.126878868	0.005112782	0.045160668	0.011774223	0.001857421	0.002392573	0.003683564	0.13002529	0.020714209	0	0	0	0.110076964	0.018161279	0.001228717	0.003172645	0.028772547	0.014748725	0	0.051899075	0.092970107	0.00665049	0.03963205	0.059307477	0	0.024362535	0.120645398	0.001488243	0.03864818	0.004237288	0.006425787	0.005842518	0.172885033	0.007351303	0.009307972	0.067657907	0.02459524	0.011221407	0.041043478	0	0.007047908	0.031105991	0	0	0	0	0	0	0.001839715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020500205	0.002167971	0.045726035	0	0.060034655	0	0.035069672	0.021837612	0.006584279	0	0	0	0.013979998	0.026190253	0.012574575	0.057682439	0.022083291	0.013960252	0.009897031	0.010702746	0.009108653	0.021469144	0.015323674	0.004555809	0.011003566	0.066646001	0.036685569	0	0	0	0.030945316	0.038858273	0.017161648	0.010857974	0.014267462	0.005037783	0.006938504	0.00639373	0.020580861	0.0055063	0.005858739	0.00266223	0	0.01051819	0.098871519	0.009311184	0.029899652	0.04210209	0.004679895	0.023220899	0.023620627	0.017198764	0.139683771	0.035089302	0.01457783	0.014252918	0.023147317	0	0.044220543	0.020285846	0	0.011225922	0.000697698	0	0.020747253	0.000775419	0.019626256	0	0	0	0	0.001473568	0.000630848	0.002309264	0.003845432	0	0.00157131	0.011383812	0.002710552	0.002242152	0.000456663	0.001622938	0	0	0.000445038	0	0	0	0	0.001836448	0.002139037	0.00137975	0.001014199	0	0	0.001086634	0	0.000303644	0.002600374	0	0.018933605	0	0	0.004409769	0.003503153	0.00219704	0.000209074	0.000878272	0	0.000640263	0.00184437	0	0.010174152	0.00080609	0.000571973	0.010922223	0.000962969	0	0.011942233	0.002351916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001669821	0	0.000493145	0	0	0	0.001012985	0	0.000802246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176351	0	0	0.007279166	0	0	0	0.004962244	0.001326395	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobiota	0.034449913	0.009401442	4.20769E-06	0.00017778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000757384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000293542	0	0	0	0	0.000193855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001305361	0	0	0	0	0.000746746	0	0	0	0	0	0	0	0	0.000486429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026067283	0	0	0	0.001618123	0	0	0	0	0	0	0	0	0.000772798	0.000516209	0	0
Gemmatimonadota	0.042546436	0.02710749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unclassified	0.059533259	0.001096835	0	2.10789E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003516776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000277418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planctomycetota	0.044769011	0.000626763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriota	0.026194634	0.010498276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Saccharibacteria	0.003968884	0.001566907	0	3.53066E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001817486	0	0	0	0	0	0	0	0	0	0	0	0	0.001508865	0	0	0.000184196	0	0	0	0	0	0	0	0.000560538	0	0	0	0	0	0	0	0	0	0.000432105	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000791497	0	0.000693802	0	0	0.000366703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
