Direct,CBM,Direct|CBM
ASV3125,ASV3720,ASV93
ASV3341,ASV2973,ASV1561
ASV2984,ASV2079,ASV20
ASV2825,ASV3417,ASV367
ASV2920,ASV2580,ASV2579
ASV3519,ASV2646,ASV1403
ASV3660,ASV1668,ASV796
ASV2541,ASV3566,ASV675
ASV2944,ASV1651,ASV450
ASV3035,ASV2848,ASV1326
ASV3692,ASV3387,ASV17
ASV2315,ASV3074,ASV2568
ASV3191,ASV3388,ASV1661
ASV3443,ASV3307,ASV350
ASV3592,ASV3483,ASV1811
ASV2621,ASV3398,ASV694
ASV3509,ASV3481,ASV1299
ASV3135,ASV2630,ASV1831
ASV2678,ASV2866,ASV554
ASV2749,ASV2774,ASV659
ASV2625,ASV3478,ASV193
ASV3440,ASV3550,ASV518
ASV3469,ASV3155,ASV42
ASV3129,ASV3153,ASV621
ASV3179,ASV3236,ASV2366
ASV3128,ASV2114,ASV1318
ASV3600,ASV3477,ASV176
ASV3345,ASV1200,ASV205
ASV3049,ASV3020,ASV815
ASV3510,ASV2176,ASV945
ASV3640,ASV2747,ASV693
ASV3444,ASV2599,ASV435
ASV3613,ASV2056,
ASV3361,ASV2132,
ASV3599,ASV2222,
ASV3524,ASV1986,
ASV3506,ASV2310,
ASV3647,ASV2483,
ASV3363,ASV3176,
ASV1791,ASV1042,
ASV3319,ASV1813,
ASV2061,ASV1982,
ASV3349,ASV2960,
ASV3539,ASV3694,
ASV3358,ASV1435,
ASV3512,ASV2698,
ASV3673,ASV2365,
ASV2946,ASV3019,
ASV2420,ASV2905,
ASV2940,ASV3484,
ASV3357,ASV3637,
ASV3677,ASV2262,
ASV3218,ASV3169,
ASV1513,ASV3571,
ASV3515,ASV3164,
ASV2480,ASV3549,
ASV3657,ASV3386,
ASV2682,ASV1522,
ASV1328,ASV3088,
ASV3360,ASV3705,
ASV3514,ASV3695,
ASV3333,ASV3079,
ASV2543,ASV2704,
ASV2987,ASV2303,
ASV3045,ASV3228,
ASV3318,ASV3147,
ASV3649,ASV1330,
ASV3268,ASV2070,
ASV2844,ASV1555,
ASV2831,ASV1926,
ASV3027,ASV3383,
ASV3190,ASV1880,
ASV3181,ASV2062,
ASV3321,ASV312,
ASV2180,ASV526,
ASV2910,ASV2955,
ASV3688,ASV2048,
ASV3618,ASV334,
ASV2684,ASV2408,
ASV3348,ASV1488,
ASV2475,ASV2495,
ASV2760,ASV3699,
ASV3615,ASV3072,
ASV3678,ASV1076,
ASV2583,ASV2551,
ASV3527,ASV3308,
ASV3656,ASV2634,
ASV3046,ASV2550,
ASV3342,ASV1080,
ASV2298,ASV1736,
ASV3284,ASV1860,
ASV3320,ASV1091,
ASV2929,ASV2217,
ASV2824,ASV2664,
ASV2227,ASV1529,
ASV3771,ASV2092,
ASV2834,ASV832,
ASV2932,ASV2118,
ASV3445,ASV2603,
ASV2659,ASV139,
ASV2751,ASV2417,
ASV3671,ASV3728,
ASV3516,ASV3722,
ASV2373,ASV3225,
ASV3195,ASV3018,
ASV3517,ASV2236,
ASV3670,ASV3707,
ASV3338,ASV3630,
ASV2316,ASV1194,
ASV3353,ASV3306,
ASV3186,ASV1124,
ASV3120,ASV3578,
ASV3659,ASV354,
ASV3313,ASV2552,
ASV2685,ASV511,
ASV2370,ASV3013,
ASV3199,ASV1799,
ASV3753,ASV311,
ASV3126,ASV2813,
ASV3779,ASV2089,
ASV3041,ASV2154,
ASV2424,ASV595,
ASV2914,ASV1158,
ASV2988,ASV2342,
ASV3658,ASV2403,
ASV3745,ASV3382,
ASV3441,ASV3411,
ASV2369,ASV2712,
ASV3270,ASV1599,
ASV2544,ASV214,
ASV3375,ASV332,
ASV2268,ASV451,
ASV3655,ASV2320,
ASV2998,ASV2713,
ASV3030,ASV2078,
ASV3693,ASV1014,
ASV2676,ASV1761,
ASV3055,ASV3021,
ASV1697,ASV3397,
ASV3681,ASV304,
ASV3185,ASV3170,
ASV2613,ASV1103,
ASV3648,ASV3558,
ASV2470,ASV1845,
ASV1327,ASV1928,
ASV3326,ASV476,
ASV2469,ASV2484,
ASV3507,ASV3090,
ASV3204,ASV3639,
ASV1760,ASV970,
ASV3653,ASV1109,
ASV2314,ASV946,
ASV2099,ASV1861,
ASV3596,ASV3385,
ASV3210,ASV1938,
ASV3213,ASV588,
ASV1990,ASV1409,
ASV2100,ASV2329,
ASV3206,ASV3082,
ASV2542,ASV2949,
ASV3183,ASV1909,
ASV2936,ASV2733,
ASV3644,ASV1619,
ASV3547,ASV468,
ASV3356,ASV875,
ASV3362,ASV3004,
ASV1712,ASV376,
ASV1917,ASV1951,
ASV3749,ASV1700,
ASV3211,ASV2343,
ASV2934,ASV1082,
ASV3667,ASV1840,
ASV3127,ASV1656,
ASV1956,ASV2012,
ASV2479,ASV2213,
ASV2101,ASV2819,
ASV3200,ASV1584,
ASV3279,ASV1631,
ASV3654,ASV2279,
ASV3598,ASV1618,
ASV2839,ASV2445,
ASV3066,ASV420,
ASV2829,ASV2439,
ASV3538,ASV2812,
ASV3352,ASV1664,
ASV3508,ASV2978,
ASV1337,ASV2386,
ASV3680,ASV1899,
ASV2924,ASV1757,
