Direct,CBM,Direct|CBM
K06862,K07097,K03088
K01896,K16120,K01990
K02639,K16119,K01992
K05716,K06372,K00059
K07244,K00903,K06147
K07672,K10120,K02529
K19131,K10121,K02004
K19132,K10122,K07090
K05956,K16121,K03406
K07072,K14387,K02003
K08776,K05992,K02015
K06944,K06356,K02016
K14152,K07741,K02035
K01471,K19002,K03704
K07477,K06931,K02034
K07743,K13678,K02033
K06873,K15672,K02027
K03943,K15671,K01952
K12600,K15670,K00384
K00132,K15673,K00626
K05359,K19203,K02032
K13039,K12242,K07024
K01852,K17326,K02013
K04573,K17327,K00128
K02294,K17328,K03657
K00511,K08640,K08884
K03715,K16384,K02026
K10811,K19208,K02025
K10921,K05352,K02057
K11919,K16039,K01784
K12988,K19204,K03574
K09120,K06257,K01897
K02638,K16093,K02014
K07488,K16424,K01126
K12073,K16425,K02030
K10704,K16095,K07025
K11540,K06321,K00382
K15653,K05991,K04487
K15681,K16438,K01448
K13237,K12250,K01714
K00988,K18236,K06180
K14376,K06414,K01652
K05999,K12443,K02049
K00461,K16118,K02050
K03166,K17302,K19302
K03167,K14628,K02029
K13058,K12434,K06889
K15052,K19268,K03924
K17053,K16022,K07107
K18290,K18349,K01915
K01143,K18350,K02051
K11528,K16386,K01999
K06981,K19207,K09458
K00464,K01846,K03091
K01184,K17624,K03496
K06914,K07057,K01995
K11418,K17484,K03100
K12235,K12240,K04763
K13279,K16436,K03086
K13524,K16015,K03466
K00006,K16018,K01265
K00601,K16021,K01104
K01302,K15466,K04771
K06580,K15734,K03296
K07374,K14956,K01895
K09012,K19106,K03497
K13868,K16024,K00615
K15852,K16025,K02031
K19475,K16026,K02028
K00306,K16027,K03892
K00816,K15650,K00928
K05586,K17476,K01996
K05587,K12431,K07052
K05588,K06790,K00826
K07739,K08762,K00074
K09611,K12442,K00655
K15376,K12712,K00648
K16054,K16019,K00058
K19373,K16023,K03116
K09139,K16028,K03111
K10822,K16439,K02495
K07353,K17747,K07001
K16325,K18056,K00627
K19136,K18057,K00666
K19165,K18091,K01738
K00501,K18836,K00845
K12733,K19569,K01998
K17051,K11082,K01462
K00186,K11083,K07240
K00187,K11084,K01997
K01180,K16210,K03710
K01622,K16907,K00799
K10231,K16905,K00525
K11415,K16906,K02355
K12405,K18058,K00134
K13509,K13687,K01092
K13811,K14630,K01649
K14126,K12426,K00161
K14127,K12437,K03569
K14128,K15957,K07058
K16368,K16385,K03885
K18660,K19628,K07114
K00682,K16387,K03711
K01539,K19506,K01465
K04479,K18909,K01358
K09132,K19508,K01687
K17892,K18284,K00162
K11987,K07721,K06966
K18105,K11521,K02342
K00288,K18544,K00790
K13820,K01312,K05366
K19134,K14626,K06131
K03955,K01117,K02433
K18555,K18548,K01647
K19054,K14680,K03671
K07891,K13311,K00135
K07065,K07710,K03797
K07752,K16094,K06153
K15495,K15937,K03284
K15496,K00842,K01953
K00129,K16388,K01754
K12207,K13683,K03654
K12221,K16389,K02056
K12224,K19694,K03790
K01865,K17910,K01845
K05525,K13669,K01420
K11777,K17463,K03217
K11889,K17468,K03530
K13472,K16393,K03588
K17818,K16123,K10439
K18913,K16391,K03686
K01014,K16392,K00681
K09720,K04781,K02275
K14109,K16102,K01426
K14275,K18287,K13993
K14596,K14336,K02358
K16046,K16007,K00788
K18613,K04650,K03469
K00514,K06430,K04077
K11173,K06427,K04564
K11422,K19171,K01961
K17867,K15948,K03307
K19189,K15357,K00286
K05580,K16122,K10112
K11953,K13330,K06199
K15849,K16096,K03118
K16397,K16097,K10823
,K19667,K01955
,K13308,K02274
,K16956,K15975
,K15927,K03701
,K13316,K01733
,K13315,K00817
,K11031,K00858
,K10817,K06911
,K14371,K03798
,K15645,K02040
,K15988,K07152
,K15991,K02078
,K16009,K07284
,K13564,K01956
,K10913,K00605
,K12619,K17686
,K18111,K01872
,K13546,K03413
,K13547,K03424
,K13549,K00963
,K13550,K01673
,K13551,K03294
,K13554,K01759
,K13555,K00548
,K13559,K11085
,K13560,K07636
,K13561,K03781
,K13563,K01091
,K00211,K02160
,K13818,K07258
,K14732,K00012
,K19647,K11189
,K18214,K00820
,K16105,K01449
,K19170,K12574
,K16928,K01951
,K06352,K04078
,K11079,K00033
,K16431,K00259
,K07655,K01921
,K10799,K02428
,K05558,K06287
,K16426,K02109
,K18815,K03320
,K10896,K01142
,K10848,K00850
,K18572,K10563
,K01355,K00020
,K16875,K03499
,K11078,K00575
,K11080,K03168
,K08952,K01887
,K00683,K06901
,K08728,K01755
,K19620,K02913
,K19621,K00796
,K19623,K00995
,K18095,K02314
,K19624,K01262
,K00043,K07056
,K01073,K02346
,K06420,K00249
,K19173,K01881
,K19174,K02954
,K19175,K01710
,K11041,K03564
,K18122,K00981
,K16249,K02335
,K15514,K15634
,K10854,K01090
,K10855,K04043
,K14007,K02493
,K15314,K00645
,K15315,K02337
,K18673,K13038
,K19180,K05520
,K16845,K03070
,K14250,K06941
,K09968,K03750
,K12991,K10118
,K01535,K07304
,K14627,K00604
,K00545,K01187
,K04342,K00948
,K12709,K00014
,K14252,K03500
,K14253,K00975
,K15960,K01868
,K16926,K00658
,K17483,K00344
,K07033,K02470
,K08352,K01923
,K13665,K11752
,K04783,K05846
,K04784,K00873
,K03391,K10773
,K16846,K06295
,K18143,K02469
,K18144,K02276
,K16004,K01524
,K09146,K03768
,K14602,K01696
,K11387,K00240
,K17205,K01866
,K17207,K01775
,K14469,K00425
,K15395,K00088
,K07138,K00939
,K16839,K00600
,K06122,K05349
,K15897,K00003
,K13307,K07568
,K07271,K11753
,K18675,K03628
,K01023,K01338
,K00624,K00942
,K00918,K02520
,K10619,K10117
,K16303,K01681
,K18319,K01875
,K19607,K00257
,K15855,K03624
,K17250,K02313
,K13657,K01586
,K18938,K00762
,K05643,K06178
,K11093,K01491
,K03895,K01870
,K02190,K07112
,K15065,K00940
,K16437,K00145
,K13327,K01803
,K15947,K01255
,K15952,K00266
,K15527,K16787
,K04747,K03101
,K14633,K02945
,K00150,K03553
,K18838,K07098
,K18282,K03040
,K07543,K00215
,K14629,K01657
,K07467,K01874
,K13873,K03183
,K18330,K11754
,K03726,K01736
,K13317,K03593
,K16005,K02518
,K16428,K01703
,K01615,K02897
,K14369,K01817
,K02107,K02902
,K18837,K00239
,K04708,K01928
,K16209,K00766
,K11728,K03665
,K13911,K07478
,K15886,K01929
,K01819,K02437
,K15936,K03438
,K15931,K00616
,K10380,K01783
,K16037,K01867
,K11687,K01704
,K08642,K01810
,K12287,K00950
,K13658,K01814
,K15792,K00133
,K10697,K06969
,K19115,K03703
,K19116,K00036
,K03221,K02356
,K11034,K01939
,K19097,K03644
,K19113,K02338
,K18094,K01409
,K15051,K00954
,K00504,K02108
,K03894,K14652
,K07357,K03687
,K01135,K01752
,K12684,K02112
,K12706,K01737
,K17992,K05592
,K04054,K00794
,K18121,K06217
