ASV_ID,BEN_BC,BHI_BC,BRA_BC,CSA_BC,CHIA_BC,CZA_BC,GN1_BC,GYM_BC,GLA_BC,GGA_BC,HA_BC,HVA_BC,KB_BC,LNMS_BC,LB_BC,MCA_BC,MYP_BC,MIC_BC,MM_BC,PYG_BC,PYS_BC,PPS_BC,PDA_BC,RA_BC,RH_BC,RZ1_BC,RZ2_BC,SA_BC,SSM_BC,SSTY_BC,CMCA_BC,SLA_BC,SEA-B_BC,SEA-R_BC,SCA_BC,SGCY_BC,SNA_BC,STA_BC,STBG_BC,T5_BC,TP_BC,TGY_BC,TCN_BC,YGCP_BC,YMG_BC,TSA_BC,0.1×TSA_BC,0.01×TSA_BC,NA_BC,0.1×NA_BC,0.01×NA_BC,AIA_BC,0.1×AIA_BC,0.01×AIA_BC,R2A_BC,0.1×R2A_BC,0.01×R2A_BC,MA_BC,0.1×MA_BC,0.01×MA_BC,BEN_RC,BHI_RC,BRA_RC,CSA_RC,CHIA_RC,CZA_RC,GN1_RC,GYM_RC,GLA_RC,GGA_RC,HA_RC,HVA_RC,KB_RC,LNMS_RC,LB_RC,MCA_RC,MYP_RC,MIC_RC,MM_RC,PYG_RC,PYS_RC,PPS_RC,PDA_RC,RA_RC,RH_RC,RZ1_RC,RZ2_RC,SA_RC,SSM_RC,SSTY_RC,CMCA_RC,SLA_RC,SEA-B_RC,SEA-R_RC,SCA_RC,SGCY_RC,SNA_RC,STA_RC,STBG_RC,T5_RC,TP_RC,TGY_RC,TCN_RC,YGCP_RC,YMG_RC,TSA_RC,0.1×TSA_RC,0.01×TSA_RC,NA_RC,0.1×NA_RC,0.01×NA_RC,AIA_RC,0.1×AIA_RC,0.01×AIA_RC,R2A_RC,0.1×R2A_RC,0.01×R2A_RC,MA_RC,0.1×MA_RC,0.01×MA_RC
ASV31_LT,0,0,0,0,0,0.001626205,0.000623108,0,0.001957586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000707214,0.000343721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001916877,0,0,0,0.030852809,0.026298426,0.017918339,0,0.030170217,0.030179972,0.008697279,0.006272506,0.022183955,0.032092555,0,0.013511869,0.041832455,0.03404733,0.009270307,0.011905984,0.034788747,0.063111973,0.040587824,0.022314216,0.010688726,0.022720709,0.027207339,0.020294057,0.023127866,0,0,0.066744981,0,0.112347188,0.043662569,0.098346757,0.02096393,0.01502666,0.007879046,0.028870374,0,0,0.015252821,0.012692487,0.016708256,0.068219634,0.011439287,0.008588247,0.027849674,0.068458364,0.029387672,0.031350482,0.005709472,0.013612251,0.020555355,0.034706488,0.059462605,0.042125203,0.015751883,0.027166635,0.027453795,0.011004254,0.018751749,0.01604426
ASV31_MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020921036,0.003189475,0,0.003428571,0.012988272,0,0,0.022884446,0.017020425,0,0.012249033,0.022815687,0.013677947,0.019602326,0,0.004621499,0.013472585,0.020232333,0,0.015983195,0.007573708,0.004774637,0.031161473,0,0,0,0.013229234,0,0.015987901,0.045882353,0,0.011381564,0,0.008641642,0.006914946,0,0,0.016850426,0.005644403,0,0.00840046,0.007283763,0.01797829,0,0.011910268,0.02090738,0.005972247,0.034592348,0.004664776,0.002020025,0.024681458,0.005224565,0.006359158,0.010009533,0.024046508,0.007441128,0,0.003980744,0
ASV31_HT,0,0,0,0,0,0,0.000919857,0,0,0,0,0,0,0,0,0,0.000371644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV6_LT,0.135389107,0.118358014,0,0,0.031510361,0.050296202,0.075396119,0.221420323,0.037955411,0.018151663,0,0.052752797,0.150135938,0.14036163,0.027311194,0.147495278,0.065576851,0.450448783,0.05320549,0.149893761,0.098222542,0,0.157650247,0,0.081742354,0,0.055427864,0,0,0.000305935,0.231776362,0.110092552,0.175786463,0.161904762,0.009281358,0.064642955,0.028605483,0.049607119,0.148536519,0.182782492,0.032500453,0.113423423,0.036384638,0.097057532,0.280125642,0.038524145,0.06832473,0.02437223,0.022232734,0.028853711,0.007454445,0.029817487,0.101355632,0.063695144,0.181436248,0.050604651,0.048009062,0.008558936,0.025417704,0.020590006,0.009840098,0,0,0,0.009275303,0.012182741,0.006546339,0,0,0,0,0,0,0.004115611,0,0.001642205,0.006655238,0.008240427,0.006398081,0,0,0,0.003440008,0,0,0,0,0,0,0,0,0,0.007912856,0.009209889,0,0.003972098,0.003136584,0,0,0.004386374,0.005207768,0.015196894,0.002531646,0,0.008489492,0,0.009727626,0.007435691,0,0.001301171,0.002614497,0,0.01037928,0.012267725,0.016241072,0.007652573,0,0,0.007836552,0.001844168
ASV6_MT,0.037770898,0.026215599,0,0,0,0.005225831,0,0.039064624,0.014228213,0,0,0.042305334,0.023648649,0,0.021848138,0.039749147,0.029310497,0.023777955,0.066489832,0.054937343,0.019974911,0,0.089863789,0,0.025697246,0,0,0,0,0,0.046447109,0.01416406,0.063981043,0.064422314,0,0.032774945,0,0.052976565,0.033641101,0.024265301,0,0.034445349,0.024196708,0.016283767,0.08076641,0.011905943,0.00745234,0.015231333,0.008637944,0,0.011605206,0.018489641,0,0.024319963,0.051490755,0.014889944,0.00973913,0,0.03702382,0.0016838,0,0,0,0,0,0.002423185,0,0.009942599,0,0,0,0.004328606,0,0,0,0,0,0.00229765,0,0,0,0,0.000954927,0,0,0,0,0,0,0,0.004385027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001405234,0,0,0,0,0.003849679,0.001074787,0.002478551,0.000880824,0.002801366,0,0.000925754,0
ASV6_HT,0,0,0,0,0,0,0,0,0,0.001704061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV12_LT,0,0,0,0,0,0,0,0.021458814,0,0,0,0,0,0.003473286,0,0.005935786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002732481,0,0,0,0,0,0,0,0.022108084,0,0,0.008181731,0,0,0,0,0,0,0,0,0,0,0.002338699,0,0,0,0,0,0,0.238519885,0.002450749,0,0,0.030068291,0.133733272,0.076405125,0.394238588,0.02886953,0,0,0,0.035487687,0.028809279,0.010096374,0.036641691,0.11394575,0.084634028,0.070578826,0.124798061,0.014871271,0,0.270613989,0.006005384,0.048089659,0.003926431,0,0,0,0,0.005616787,0,0.091151988,0.068928745,0.031835605,0.130788607,0.012071096,0.032381149,0.057354785,0.060942604,0.061408267,0.144980588,0.030473511,0.019009939,0.054767574,0.024970903,0.053143559,0.033762058,0,0.026724052,0,0.0376931,0.037831021,0.000992242,0.15634478,0.043715324,0,0.005733309,0.004198153,0
ASV12_MT,0,0.009028609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199861,0,0,0,0,0,0,0,0,0,0.00560528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024657534,0.08100523,0,0,0.002285714,0.060773481,0.001502488,0.095735957,0.029925814,0.066179415,0,0.015380365,0.034591526,0.010214051,0.009191521,0.079026471,0.027266845,0.056501305,0.038625363,0.074775785,0.018175176,0,0.049751719,0,0.015932354,0.023282376,0,0,0,0.003888949,0.050909091,0.024092549,0.081586658,0.022447275,0,0.020646054,0,0.045647773,0.027876014,0.024981708,0,0.074798619,0.01466869,0.022614202,0.101691522,0.036540241,0.047459753,0.010363604,0.020046449,0.011616208,0.001580889,0.008553863,0.005316224,0.003493059,0.045853194,0.02378226,0.002976451,0.001642785,0.006017404,0.000958188
ASV12_HT,0,0,0,0,0,0,0.003104519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV30_LT,0.043791625,0.055095819,0,0,0,0.013822744,0.025992523,0.163491147,0.0137031,0.020823735,0,0.007567449,0.098479509,0.039432016,0,0.050544114,0.043216836,0,0.015510434,0.047807611,0.031131203,0,0.105293719,0,0.019277108,0,0.028553748,0,0,0,0.041843595,0.042485677,0.044613918,0.112202381,0,0.022675322,0.009901898,0.021963457,0.02142792,0.044439482,0,0.057117117,0.04697276,0.033706632,0.118598896,0.016458672,0.039230408,0.013417036,0.017218543,0.045469855,0,0,0.013429621,0.023662127,0.084904739,0.018883721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
