Group	Sample	Relative_abundance	ASV_ID
BCL	BL1	49.91332908	ASV1
BCL	BL2	0.043554007	ASV1
BCL	BL3	22.20991415	ASV1
BCL	BL4	0	ASV1
BCL	BL5	32.55714591	ASV1
BCL	BL6	19.54930886	ASV1
BCL	BL7	6.782980239	ASV1
BCL	BL8	41.41647421	ASV1
BCL	BL9	3.175638934	ASV1
BCL	BL10	0.193494886	ASV1
BCL	BL11	0.030715675	ASV1
BCL	BL12	8.017109015	ASV1
BCL	BL13	4.037861243	ASV1
BCL	BL14	25.98835428	ASV1
BCL	BL15	5.423772278	ASV1
BCL	BL16	62.50562101	ASV1
BCL	BL17	36.3679068	ASV1
BCL	BL18	42.54649764	ASV1
BCL	BL19	23.20924986	ASV1
BCL	BL20	32.41259417	ASV1
BCL	BL21	17.24031645	ASV1
BCL	BL22	11.91102345	ASV1
BCL	BL23	37.12377819	ASV1
BCL	BL24	2.126716881	ASV1
BCL	BL25	26.62650602	ASV1
BCL	BL26	47.58962757	ASV1
BCL	BL27	43.92680339	ASV1
BCL	BL28	0	ASV1
BCL	BL29	0.56352459	ASV1
BCL	BL30	0.05098919	ASV1
BCL	BL31	45.15215853	ASV1
BCL	BL32	42.31820185	ASV1
BCL	BL33	29.54242135	ASV1
BCL	BL34	20.04960317	ASV1
BCL	BL35	4.676036418	ASV1
BCL	BL36	49.87656579	ASV1
BCL	BL37	15.44879435	ASV1
BCL	BL38	15.63002935	ASV1
BCL	BL39	23.10568068	ASV1
BCL	BL40	25.85975882	ASV1
BCL	BL41	82.69961977	ASV1
BCL	BL42	35.08108108	ASV1
BCL	BL43	36.20175185	ASV1
BCL	BL44	9.606938955	ASV1
BCL	BL45	20.33123929	ASV1
BCL	BL46	1.302224634	ASV1
BCL	BL47	39.02393243	ASV1
BCL	BL48	40.91580502	ASV1
BCL	BL49	2.034058657	ASV1
BCL	BL50	21.32030987	ASV1
BCL	BL51	25.62120375	ASV1
BCL	BL52	5.517826825	ASV1
BCL	BL53	17.43316863	ASV1
BCL	BL54	28.77974962	ASV1
BCL	BL55	27.89447973	ASV1
BCL	BL56	31.58139535	ASV1
BCL	BL57	63.39635793	ASV1
BCL	BL58	0.725648898	ASV1
BCL	BL59	25.71987202	ASV1
BCL	BL60	38.75978326	ASV1
BCM	BM1	43.15789474	ASV1
BCM	BM2	0.11965626	ASV1
BCM	BM3	19.98684458	ASV1
BCM	BM4	0	ASV1
BCM	BM5	26.53993104	ASV1
BCM	BM6	55.39380366	ASV1
BCM	BM7	24.36967408	ASV1
BCM	BM8	57.71775582	ASV1
BCM	BM9	9.884863802	ASV1
BCM	BM10	0.129473782	ASV1
BCM	BM11	0	ASV1
BCM	BM12	10.71735132	ASV1
BCM	BM13	41.31859132	ASV1
BCM	BM14	39.80787873	ASV1
BCM	BM15	14.92359121	ASV1
BCM	BM16	83.05819423	ASV1
BCM	BM17	66.64606692	ASV1
BCM	BM18	55.33457085	ASV1
BCM	BM19	27.07338638	ASV1
BCM	BM20	37.69423559	ASV1
BCM	BM21	41.30078163	ASV1
BCM	BM22	26.85601294	ASV1
BCM	BM23	66.19494074	ASV1
BCM	BM24	9.771269978	ASV1
BCM	BM25	65.68145939	ASV1
BCM	BM26	76.0966251	ASV1
BCM	BM27	63.6314597	ASV1
BCM	BM28	0	ASV1
BCM	BM29	0	ASV1
BCM	BM30	0	ASV1
BCM	BM31	50.20583497	ASV1
BCM	BM32	74.50469239	ASV1
BCM	BM33	57.29331227	ASV1
BCM	BM34	56.43782498	ASV1
BCM	BM35	64.19709635	ASV1
BCM	BM36	55.60815732	ASV1
BCM	BM37	0	ASV1
BCM	BM38	28.35593068	ASV1
BCM	BM39	37.85537983	ASV1
BCM	BM40	63.26952458	ASV1
BCM	BM41	87.24209078	ASV1
BCM	BM42	43.64885634	ASV1
BCM	BM43	35.87382445	ASV1
BCM	BM44	35.50870992	ASV1
BCM	BM45	48.54235424	ASV1
BCM	BM46	8.423454708	ASV1
BCM	BM47	67.76429809	ASV1
BCM	BM48	61.65826844	ASV1
BCM	BM49	14.78984515	ASV1
BCM	BM50	35.63935732	ASV1
BCM	BM51	35.37960954	ASV1
BCM	BM52	39.11784362	ASV1
BCM	BM53	13.86753001	ASV1
BCM	BM54	53.61917935	ASV1
BCM	BM55	53.24250199	ASV1
BCM	BM56	66.56236513	ASV1
BCM	BM57	39.14782609	ASV1
BCM	BM58	23.2759423	ASV1
BCM	BM59	27.09429922	ASV1
BCM	BM60	49.14037575	ASV1
BCH	BH1	0	ASV1
BCH	BH2	0	ASV1
BCH	BH3	0	ASV1
BCH	BH4	0	ASV1
BCH	BH5	0	ASV1
BCH	BH6	0	ASV1
BCH	BH7	0.344946533	ASV1
BCH	BH8	0.054839594	ASV1
BCH	BH9	0	ASV1
BCH	BH10	0.104137082	ASV1
BCH	BH11	0	ASV1
BCH	BH12	0	ASV1
BCH	BH13	0	ASV1
BCH	BH14	0	ASV1
BCH	BH15	0	ASV1
BCH	BH16	0	ASV1
BCH	BH17	0	ASV1
BCH	BH18	0	ASV1
BCH	BH19	0	ASV1
BCH	BH20	0	ASV1
BCH	BH21	0	ASV1
BCH	BH22	0.032794053	ASV1
BCH	BH23	0.061908552	ASV1
BCH	BH24	0	ASV1
BCH	BH25	0	ASV1
BCH	BH26	0	ASV1
BCH	BH27	0.026385224	ASV1
BCH	BH28	0	ASV1
BCH	BH29	0	ASV1
BCH	BH30	0	ASV1
BCH	BH31	0	ASV1
BCH	BH32	0	ASV1
BCH	BH33	0	ASV1
BCH	BH34	0.018889309	ASV1
BCH	BH35	0	ASV1
BCH	BH36	0	ASV1
BCH	BH37	0	ASV1
BCH	BH38	0	ASV1
BCH	BH39	0.052870889	ASV1
BCH	BH40	0	ASV1
BCH	BH41	0	ASV1
BCH	BH42	0	ASV1
BCH	BH43	0	ASV1
BCH	BH44	0	ASV1
BCH	BH45	0	ASV1
BCH	BH46	0	ASV1
BCH	BH47	0	ASV1
BCH	BH48	0.05397625	ASV1
BCH	BH49	0	ASV1
BCH	BH50	0	ASV1
BCH	BH51	0	ASV1
BCH	BH52	0	ASV1
BCH	BH53	0	ASV1
BCH	BH54	0.176335743	ASV1
BCH	BH55	0.2057036	ASV1
BCH	BH56	0	ASV1
