FUN	BCL	BCM	BCH	BC	RCL	RCM	RCH	RC	CES	OSS	BS	RS
chemoheterotrophy	0.168134039	0.231533234	0.321432144	0.240366472	0.155302625	0.252697182	0.329033018	0.245677608	0.24302204	0.35370903	0.378498199	0.328919861
aerobic_chemoheterotrophy	0.125818493	0.214658145	0.321108484	0.220528374	0.112077896	0.237255768	0.326048658	0.225127441	0.222827907	0.33606016	0.361318925	0.310801394
nitrate_reduction	0.163160806	0.226364839	0.114076881	0.167867509	0.183679575	0.18878379	0.126431035	0.166298133	0.167082821	0.131404117	0.159323912	0.103484321
nitrogen_fixation	0.101047836	0.136402567	0.000850132	0.079433512	0.01716592	0.144645472	1.54833E-05	0.053942292	0.066687902	0.007550182	0.003602106	0.011498258
fermentation	0.043807901	0.020899907	0.06295682	0.042554876	0.043257488	0.014749814	0.056561656	0.038189653	0.040372264	0.011089244	0.008589637	0.01358885
manganese_oxidation	0.04784665	0.016786443	0.000448305	0.021693799	0.084259605	0.020316146	6.21368E-06	0.034860655	0.028277227	0.005950716	0.002493766	0.009407666
nitrate_respiration	0.042226851	0.01681752	0.000303842	0.019782738	0.044053271	0.015485386	5.26243E-05	0.01986376	0.019823249	0.009220995	0.004156276	0.014285714
nitrogen_respiration	0.042226851	0.01681752	0.000303842	0.019782738	0.044053271	0.015485386	5.26243E-05	0.01986376	0.019823249	0.009220995	0.004156276	0.014285714
nitrite_respiration	0.042216319	0.016815459	0.000303842	0.01977854	0.044047263	0.015485386	5.26243E-05	0.019861758	0.019820149	0.007605768	0.002493766	0.01271777
methylotrophy	0.042216319	0.01678303	0.000303842	0.01976773	0.044056772	0.015423668	6.21368E-06	0.019828884	0.019798307	0.008651064	0.002493766	0.014808362
methanol_oxidation	0.042216319	0.01678303	0.000303842	0.01976773	0.044056772	0.015421538	6.21368E-06	0.019828175	0.019797952	0.008041308	0.002493766	0.01358885
ligninolysis	0.042257834	0.016897749	0.000303842	0.019819808	0.042838059	0.015779667	0.004102375	0.0209067	0.020363254	0.005079636	0.002493766	0.007665505
nitrite_ammonification	0.042216319	0.01678303	0.000303842	0.01976773	0.042242777	0.013221678	5.26243E-05	0.018505693	0.019136712	0.005079636	0.002493766	0.007665505
nitrate_ammonification	0.042216319	0.01678303	0.000303842	0.01976773	0.042242777	0.013154888	6.21368E-06	0.01846796	0.019117845	0.005079636	0.002493766	0.007665505
xylanolysis	1.08E-03	0.005385475	0.095623849	0.034029521	3.20399E-05	0.000194497	0.076971108	0.025732549	0.029881035	0.000958188	0	0.001916376
cellulolysis	3.13E-03	0.004277911	0.080045568	0.029150072	0.000156514	0.000730028	0.055784098	0.018890213	0.024020143	0.001655053	0	0.003310105
Others (<1%)	0.008185172	0.009211111	0.001027083	0.006141122	0.056477378	0.021169704	0.024817216	0.034154766	0.020147944	0.093644277	0.06289831	0.124390244
