samples	group
BL1	BCL
BL2	BCL
BL3	BCL
BL4	BCL
BL5	BCL
BL6	BCL
BL7	BCL
BL8	BCL
BL9	BCL
BL10	BCL
BL11	BCL
BL12	BCL
BL13	BCL
BL14	BCL
BL15	BCL
BL16	BCL
BL17	BCL
BL18	BCL
BL19	BCL
BL20	BCL
BL21	BCL
BL22	BCL
BL23	BCL
BL24	BCL
BL25	BCL
BL26	BCL
BL27	BCL
BL28	BCL
BL29	BCL
BL30	BCL
BL31	BCL
BL32	BCL
BL33	BCL
BL34	BCL
BL35	BCL
BL36	BCL
BL37	BCL
BL38	BCL
BL39	BCL
BL40	BCL
BL41	BCL
BL42	BCL
BL43	BCL
BL44	BCL
BL45	BCL
BL46	BCL
BL47	BCL
BL48	BCL
BL49	BCL
BL50	BCL
BL51	BCL
BL52	BCL
BL53	BCL
BL54	BCL
BL55	BCL
BL56	BCL
BL57	BCL
BL58	BCL
BL59	BCL
BL60	BCL
BM1	BCM
BM2	BCM
BM3	BCM
BM4	BCM
BM5	BCM
BM6	BCM
BM7	BCM
BM8	BCM
BM9	BCM
BM10	BCM
BM11	BCM
BM12	BCM
BM13	BCM
BM14	BCM
BM15	BCM
BM16	BCM
BM17	BCM
BM18	BCM
BM19	BCM
BM20	BCM
BM21	BCM
BM22	BCM
BM23	BCM
BM24	BCM
BM25	BCM
BM26	BCM
BM27	BCM
BM28	BCM
BM29	BCM
BM30	BCM
BM31	BCM
BM32	BCM
BM33	BCM
BM34	BCM
BM35	BCM
BM36	BCM
BM37	BCM
BM38	BCM
BM39	BCM
BM40	BCM
BM41	BCM
BM42	BCM
BM43	BCM
BM44	BCM
BM45	BCM
BM46	BCM
BM47	BCM
BM48	BCM
BM49	BCM
BM50	BCM
BM51	BCM
BM52	BCM
BM53	BCM
BM54	BCM
BM55	BCM
BM56	BCM
BM57	BCM
BM58	BCM
BM59	BCM
BM60	BCM
BH1	BCH
BH2	BCH
BH3	BCH
BH4	BCH
BH5	BCH
BH6	BCH
BH7	BCH
BH8	BCH
BH9	BCH
BH10	BCH
BH11	BCH
BH12	BCH
BH13	BCH
BH14	BCH
BH15	BCH
BH16	BCH
BH17	BCH
BH18	BCH
BH19	BCH
BH20	BCH
BH21	BCH
BH22	BCH
BH23	BCH
BH24	BCH
BH25	BCH
BH26	BCH
BH27	BCH
BH28	BCH
BH29	BCH
BH30	BCH
BH31	BCH
BH32	BCH
BH33	BCH
BH34	BCH
BH35	BCH
BH36	BCH
BH37	BCH
BH38	BCH
BH39	BCH
BH40	BCH
BH41	BCH
BH42	BCH
BH43	BCH
BH44	BCH
BH45	BCH
BH46	BCH
BH47	BCH
BH48	BCH
BH49	BCH
BH50	BCH
BH51	BCH
BH52	BCH
BH53	BCH
BH54	BCH
BH55	BCH
BH56	BCH
BH57	BCH
BH58	BCH
BH59	BCH
BH60	BCH
BS	BS
RL1	RCL
RL2	RCL
RL3	RCL
RL4	RCL
RL5	RCL
RL6	RCL
RL7	RCL
RL8	RCL
RL9	RCL
RL10	RCL
RL11	RCL
RL12	RCL
RL13	RCL
RL14	RCL
RL15	RCL
RL16	RCL
RL17	RCL
RL18	RCL
RL19	RCL
RL20	RCL
RL21	RCL
RL22	RCL
RL23	RCL
RL24	RCL
RL25	RCL
RL26	RCL
RL27	RCL
RL28	RCL
RL29	RCL
RL30	RCL
RL31	RCL
RL32	RCL
RL33	RCL
RL34	RCL
RL35	RCL
RL36	RCL
RL37	RCL
RL38	RCL
RL39	RCL
RL40	RCL
RL41	RCL
RL42	RCL
RL43	RCL
RL44	RCL
RL45	RCL
RL46	RCL
RL47	RCL
RL48	RCL
RL49	RCL
RL50	RCL
RL51	RCL
RL52	RCL
RL53	RCL
RL54	RCL
RL55	RCL
RL56	RCL
RL57	RCL
RL58	RCL
RL59	RCL
RL60	RCL
RM1	RCM
RM2	RCM
RM3	RCM
RM4	RCM
RM5	RCM
RM6	RCM
RM7	RCM
RM8	RCM
RM9	RCM
RM10	RCM
RM11	RCM
