Sample	FG	KO
BS	25	5628
RS	36	5825
BL1	17	3547
BL2	14	3602
BL3	17	3971
BL4	19	2094
BL5	19	4225
BL6	18	4011
BL7	16	4065
BL8	14	3245
BL9	16	4003
BL10	14	3594
BL11	4	3171
BL12	18	4081
BL13	16	3747
BL14	17	4175
BL15	14	3654
BL16	14	3233
BL17	17	3855
BL18	17	3426
BL19	17	3848
BL20	16	3922
BL21	15	3806
BL22	6	3959
BL23	15	3539
BL24	7	4057
BL25	17	4072
BL26	4	3433
BL27	24	4681
BL28	3	2948
BL29	4	3497
BL30	14	3242
BL31	18	3747
BL32	17	3928
BL33	17	3922
BL34	17	3743
BL35	14	3395
BL36	15	4014
BL37	25	4671
BL38	17	4006
BL39	17	4150
BL40	14	3869
BL41	16	3756
BL42	17	3846
BL43	17	3865
BL44	17	4042
BL45	17	3974
BL46	15	3856
BL47	17	4023
BL48	17	4169
BL49	17	3929
BL50	18	4485
BL51	17	3843
BL52	17	3908
BL53	18	4391
BL54	18	4566
BL55	17	3982
BL56	17	4338
BL57	18	4421
BL58	16	4011
BL59	18	4417
BL60	17	4211
BM1	18	3876
BM2	17	4051
BM3	8	3971
BM4	1	2499
BM5	19	4462
BM6	17	4160
BM7	17	4226
BM8	16	3849
BM9	17	4076
BM10	16	3879
BM11	1	2463
BM12	17	3911
BM13	18	4265
BM14	18	4378
BM15	17	3830
BM16	17	3722
BM17	17	3862
BM18	18	4043
BM19	19	4476
BM20	16	3723
BM21	17	3964
BM22	8	3875
BM23	17	3745
BM24	7	4273
BM25	17	4402
BM26	8	3928
BM27	4	3272
BM28	6	2979
BM29	1	2516
BM30	15	3109
BM31	19	4435
BM32	17	3933
BM33	17	4034
BM34	17	3756
BM35	10	3997
BM36	17	3850
BM37	2	2798
BM38	17	4410
BM39	17	4005
BM40	18	3872
BM41	4	2361
BM42	17	3930
BM43	17	4201
BM44	24	4652
BM45	17	4145
BM46	15	3825
BM47	17	4157
BM48	18	4307
BM49	17	4177
BM50	18	4494
BM51	28	5022
BM52	18	4288
BM53	13	4282
BM54	18	4513
BM55	17	4028
BM56	17	4347
BM57	18	4495
BM58	17	4103
BM59	18	4699
BM60	18	4631
BH1	7	3259
BH2	6	2782
BH3	6	3575
BH4	6	2218
BH5	6	3983
BH6	6	3490
BH7	17	4284
BH8	7	3596
BH9	8	3813
BH10	16	3996
BH11	6	2457
BH12	6	3722
BH13	6	3577
BH14	6	3771
BH15	6	3218
BH16	6	3024
BH17	8	3623
BH18	6	3097
BH19	6	3458
BH20	6	3652
BH21	6	3571
BH22	7	3838
BH23	7	3705
BH24	4	3498
BH25	6	3521
BH26	6	3459
BH27	5	3422
BH28	1	2406
BH29	3	2219
BH30	3	2812
BH31	6	2934
BH32	3	3014
BH33	6	3556
BH34	8	3967
BH35	6	3511
BH36	6	3286
BH37	6	1916
BH38	6	3652
BH39	7	3962
BH40	6	3668
BH41	2	2557
BH42	6	2947
BH43	4	2716
BH44	3	3502
BH45	7	3855
BH46	4	3076
BH47	6	3539
BH48	8	4147
BH49	6	3459
BH50	6	4013
BH51	6	3613
BH52	6	3631
BH53	6	3803
BH54	7	4098
BH55	17	4103
BH56	7	3972
BH57	7	4041
BH58	6	3609
BH59	6	3938
BH60	6	3667
RL1	15	3948
RL2	14	2993
RL3	15	3473
RL4	3	3390
RL5	20	4435
RL6	18	3837
RL7	19	4265
RL8	17	3564
RL9	14	3225
RL10	5	2789
RL11	4	3293
RL12	20	3081
RL13	19	3473
RL14	23	4090
RL15	19	3576
RL16	15	4020
RL17	14	3377
RL18	15	3764
RL19	16	3922
RL20	14	3114
RL21	23	3808
RL22	5	2869
RL23	15	3687
RL24	17	3360
RL25	20	4063
RL26	14	4196
RL27	5	4004
RL28	5	2724
RL29	5	3426
RL30	5	2758
RL31	15	4112
RL32	6	3589
RL33	14	3556
RL34	15	3958
RL35	14	3075
RL36	15	3597
RL37	19	4494
RL38	14	3018
RL39	15	3683
RL40	15	3103
RL41	33	5326
RL42	14	2884
RL43	14	2964
RL44	20	3631
RL45	15	3646
RL46	14	2954
RL47	15	3587
RL48	24	4161
RL49	14	3332
RL50	23	4062
RL51	24	4541
RL52	20	3883
RL53	24	4320
RL54	24	4366
RL55	15	3631
RL56	21	4248
RL57	21	4608
